,业绩比较基准,基准对应的基金数目
152,美元一年银行定期存款利率(税后)+2%,4
5,JP Morgan Asian Credit Index Composite Total Return,3
76,富时发达市场REITs指数收益率*95%+银行活期存款收益率(税后)*5%,3
148,经人民币汇率调整的标普美国品质消费股票指数收益率*95%+人民币活期存款利率(税后)*5%,3
42,中证主要消费行业指数收益率*40%+恒生消费品制造及服务业指数收益率*24%+中债综合财富指数收益率*20%+明晟全球可选消费指数收益率*8%+明晟全球主要消费指数收益率*8%,3
138,纳斯达克100价格指数(Nasdaq 100 Price Index)收益率,3
49,中证海外中国互联网指数*45%+道琼斯互联网指数*40%+中证全指互联网软件与服务指数*15%,3
32,上证国债指数收益率*40%+中证信息指数收益率*30%+中证海外中国互联网指数收益率*30%,3
153,美银美林1-10年期美国总体市场指数(BofA Merrill Lynch 1-10 Years US Broad Market Index)收益率,3
145,经人民币汇率调整的恒生指数收益率*80%+人民币同期活期存款利率(税后)*20%,3
124,标普全球1200医疗保健指数( S&P Global 1200 Health Care Sector Index)收益率*40%+中证医药卫生指数收益率*40%+一年期人民币定期存款利率(税后) *20%,3
126,"标普全球高端消费品指数(净收益指数,使用估值汇率折算)",3
128,标普石油天然气上游股票指数(全收益指数),3
22,MSCI全球权益指数(未对冲)收益率*54%+彭博巴克莱全球综合债券指数(未对冲)收益率*36%+一个月期伦敦同业拆借利率*10%,3
21,MSCI全球指数(MSCI ACWI)*80%+摩根大通全球债券指数(J.P. Morgan Global Aggregate Bond Index)*20%,3
39,中证中国内地企业500指数收益率*60%+中债总指数收益率*40%,3
83,彭博巴克莱全球综合债券指数收益率(经汇率调整)*95%+商业银行活期存款基准利率(税后)*5%,2
86,彭博巴克莱新兴市场亚洲高等级美元信用债指数收益率*80%+人民币活期存款利率(税后)*20%,2
85,彭博巴克莱全球综合指数收益率*80%+人民币活期存款利率(税后)*20%,2
84,彭博巴克莱全球综合债券指数收益率*50%+明晟MSCI世界指数收益率*25%+明晟MSCI新兴市场指数收益率*25%,2
135,申万医药生物行业指数收益率*45%+标普全球1200医疗保健指数(使用估值汇率折算)收益率*40%+中债总指数收益率*15%,2
149,经人民币汇率调整的标普香港上市中国中小盘指数收益率*95%+人民币活期存款利率(税后)*5%,2
150,经人民币汇率调整的标的指数(标普500净总收益指数)收益率*95%+人民币活期存款利率(税后)*5%,2
151,罗素1000成长指数收益率*95%+境内银行活期存款利率(税后)*5%,2
77,巴克莱全球债券指数(Barclay Global Aggregate Index)*70%+中债综合指数收益率*30%,2
154,越南VN30指数收益率(使用估值汇率折算)*90%+人民币活期存款利率(税后)*10%,2
73,同期人民币一年期定期存款利率+1%,2
87,彭博巴克莱新兴市场美元债中国总回报指数*95%+商业银行活期存款基准利率(税后)*5%,2
97,恒生综合中型股指数收益率*50%+恒生综合小型股指数收益率*30%+香港三个月期银行同业拆借利率*20%,2
147,经人民币汇率调整的恒生指数收益率*95%+商业银行活期存款利率(税后)*5%,2
72,同期人民币一年期定期存款利率(税后)+1%,2
127,标普生物科技精选行业指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2
121,标普500指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2
120,标普500指数收益率(使用估值汇率折算)*95%+人民币活期存款利率(税后)*5%,2
118,标普500医疗保健等权重指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2
117,标普500信息科技指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2
140,纳斯达克100指数(Nasdaq-100 Index)收益率(经汇率调整后的总收益指数收益率),2
110,日经225指数收益率(经汇率调整后),2
141,纳斯达克100指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2
146,经人民币汇率调整的恒生指数收益率*95%+人民币同期活期存款利率*5%,2
100,恒生高股息率指数收益率(经汇率估值调整)*60%+中证红利指数收益率*30%+中债综合财富指数收益率*10%,2
142,经人民币汇率调整的富时100指数收益率*95%+人民币活期存款利率(税后)*5%,2
144,经人民币汇率调整的恒生指数收益率*65%+境内银行活期存款利率(税后)*20%+经人民币汇率调整的标普500指数收益率*15%,2
99,恒生综合小型股指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,2
98,恒生综合中小型股指数收益率*95%+人民币活期存款利率(税后)*5%,2
95,恒生指数收益率*50%+中证海外(不含香港)内地股指数收益率*25%+人民币同期活期存款利率*25%,2
92,恒生中国企业指数收益率(使用估值汇率折算),2
108,摩根斯坦利金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),2
155,道琼斯美国精选REIT指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
28,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index)*60%+同期人民币一年期定期存款利率(税后)*40%,2
56,人民币计价的MSCI全球指数(MSCI World Index)*60%+人民币计价的恒生指数*40%,2
41,中证中美互联网指数收益率*95%+人民币活期存款收益率(税后)*5%,2
43,中证健康产业指数收益率*45%+中证海外中国内地企业互联互通医药卫生指数收益率*45%+人民币活期存款利率(税后)*10%,2
17,MSCI中国指数收益率*90%+人民币活期存款利率(税后)*10%,2
45,中证浙江新动能指数收益率*95%+活期存款利率(税后)*5%,2
20,MSCI全球信息科技指数收益率*40%+中证海外中国互联网指数收益率*40%+人民币活期存款利率(税后)*20%,2
48,中证海外中国互联网指数(人民币计价)*95%+人民币活期存款利率(税后)*5%,2
33,上证国债指数收益率*40%+富时中国(不含B股)全盘指数收益率*30%+富时中国A股全股指数收益率*30%,2
36,中信证券印度ETP指数收益率*90%+人民币活期存款收益率(税后)*10%,2
9,MSCI Zhonghua*65%+MSCI AC Asia Pacific ex Zhonghua*35%,2
53,中证香港中国中小综合指数收益率*80%+香港三个月期银行同业拆借利率(Hong Kong 3-Month Interbank Offer Rate)*20%,2
30,WTI原油价格收益率*60%+BRENT原油价格收益率*40%,2
60,人民币计价的富时国际高收益公司债指数(FTSE USD International High Yield Corporate Bond Index in RMB ),2
61,人民币计价的恒生中国企业精明指数收益率*95%+活期存款利率(税后)*5%,2
62,人民币计价的标普全球1200医疗保健指数收益率,2
65,人民币计价的纳斯达克生物科技指数收益率*95%+人民币活期存款收益率(税后)*5%,2
26,MSCI金龙净总收益指数,1
122,标普500等权重指数(全收益指数),1
27,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),1
134,法国CAC40指数收益率(经汇率调整后),1
133,"欧洲货币矿产,黄金及能源指数(Euromoney Mining,Gold&Energy Index)",1
132,标普高盛商品总指数收益率(S&P GSCI Commodity Total Return Index),1
130,标普高盛农产品总收益指数(S&P GSCI Agricultural Total Return Index)收益率*30%+巴克莱美国通胀保护债券指数(Barclays Capital U.S. Treasury Inflation Protected Securities (TIPS) Index (Series-L))收益率*30%+标普高盛贵金属类总收益指数(S&P GSCI Precious Metal Total Return Index)收益率*20%+标普高盛能源类总收益指数(S&P GSCI Energy Total Return Index)收益率*20%,1
123,标普中国新经济行业(A股上限)指数收益率,1
125,标普全球石油净总收益指数收益率(S&P Global Oil Index Net Total Return),1
129,标普能源行业指数(净收益)(S&P 500 Energy Sector Index(NTR)),1
23,MSCI全球股票指数收益率*60%+MSCI中国指数收益率*40%,1
24,MSCI印度指数收益率(经人民币汇率调整)*90%+人民币活期存款利率(税后)*10%,1
25,MSCI欧洲净收益指数(MSCI Europe Index(Total Return Net))收益率*90%+银行活期存款收益率(税后)*10%,1
19,MSCI亚洲(除日本)净总收益指数(MSCI AC Asia ex Japan Index(Net Total Return)),1
69,伦敦金价格折成人民币后的收益率,1
136,申银万国医药生物行业指数收益率*45%+恒生医疗保健行业指数收益率*35%+中债总指数收益率*20%,1
137,纳斯达克100价格指数,1
3,FTSE EPRA/NAREIT Developed REITs Total Return Index,1
4,FTSE EPRA/NAREIT Developed REITs Total Return Index(经汇率调整后的),1
6,MSCI AC亚洲除日本指数,1
7,MSCI All Country World Index(MSCI ACWI 指数)总收益,1
8,MSCI All Country World Indexsm(MSCI世界指数)总收益,1
10,MSCI 所有国家世界指数(MSCI All Country World Index)*60%+美国3月政府债券(US 3-Month T-Bills)收益率*40%,1
11,MSCI世界指数(MSCI World Index)*60%+MSCI新兴市场指数(MSCI Emerging Markets Index)*40%,1
12,MSCI中华指数(MSCI Zhong Hua Index),1
13,MSCI中华指数(MSCI ZhongHua Index),1
14,MSCI中国指数,1
143,经人民币汇率调整的德国DAX指数(DAX Index)收益率*95%+人民币活期存款利率(税后)*5%,1
15,MSCI中国指数(以美元计价),1
16,MSCI中国指数*95%+同期人民币一年期定期存款利率(税后)*5%,1
119,"标普500指数(S&P 500 Index(NTR,Net total Return))(经估值汇率调整,以人民币计价)",1
18,MSCI亚太综合指数(不含日本)(MSCI AC Asia Pacific ex Japan Index),1
139,纳斯达克100指数(Nasdaq-100 Index)收益率(总收益指数收益率),1
112,"标准普尔全球BMI市场指数总收益率(S&P Global BMI)*70%+标准普尔BMI中国(除A,B股)指数总收益率(S&P BMI China ex-A-B-Shares)*30%",1
29,WTI原油价格收益率*100%,1
116,标准普尔高盛商品总收益指数(S&P GSCI Commodity Total Return Index),1
93,恒生互联网科技业指数收益率(使用估值汇率折算),1
46,中证海外中国互联网50指数,1
90,恒生中国企业指数,1
89,德国DAX指数(DAX Index)收益率(经汇率调整后的总收益指数收益率),1
50,中证海外中国互联网指数收益率*80%+中证互联网指数收益率*10%+中债综合全价指数收益率*10%,1
51,中证海外中国互联网指数收益率*95%+银行活期存款利率(税后)*5%,1
52,中证海外内地股指数,1
54,人民币/港币汇率*恒生中国企业指数,1
55,人民币/港币汇率*恒生中国企业指数收益率*95%+人民币活期存款收益率(税后)*5%,1
81,彭博巴克莱中资美元债指数(Bloomberg Barclays Asia Ex-Japan USD Credit China)收益率,1
58,人民币计价的中证海外中国互联网指数收益率*50%+中证移动互联网指数收益率*50%,1
75,国泰大宗商品配置指数(全收益指数),1
63,人民币计价的标普全球精选自然资源等权重指数(NTR)收益率*95%+人民币活期存款收益率(税后)*5%,1
68,伦敦金价格(汇率调整后),1
71,估值汇率调整后的纳斯达克100指数收益,1
94,恒生指数(Hang Seng Index)收益率*70%+中债综合全价(总值)指数收益率*30%,1
44,中证浙江新动能指数收益率,1
96,恒生指数收益率*95%+人民币活期存款利率(税后)*5%,1
34,东京证券交易所股价总指数收益率*90%+银行活期存款收益率(税后)*10%,1
115,标准普尔金砖四国(含香港)市场指数(总回报),1
114,标准普尔全球市场指数(S&P Global BMI)*60%+香港恒生指数(Hang Seng Index)*40%,1
113,标准普尔全球大中盘指数(S&P Global LargeMidCap Index)*70%+恒生指数*30%,1
70,伦敦金价格收益率(折成人民币后),1
111,标准普尔100等权重指数总收益率,1
109,日经225指数收益率(使用估值汇率折算),1
107,摩根斯坦利综合亚太指数(不含日本)(MSCI AC Asia Pacific Index ex Japan),1
40,中证中美TMT指数收益率*40%+中证TMT产业主题指数收益率*30%+上证国债指数收益率*30%,1
106,摩根斯坦利新兴市场股票指数(总回报),1
105,摩根斯坦利世界大盘股指数(MSCI World Large Cap Index),1
104,摩根大通亚洲债券中国总收益指数(JACI China Total Return Index)(经估值日汇率调整后的),1
35,"东证指数(Tokyo Stock Price Index,“TOPIX”)(经汇率调整后)",1
102,摩根士丹利资本国际新兴市场指数(MSCI Emerging Markets Index (Net Total Return)),1
101,摩根士丹利资本国际全球指数(MSCI All Country World Index),1
