,业绩比较基准,基准对应的基金数目,基金对应平均比例
83,中证计算机主题指数收益率,4,0
84,中证京津冀协同发展主题指数收益率,4,0
85,同期银行活存款利率(税后),4,0
86,固定利率1.5%,4,1
87,中证100指数,4,0
88,上证综合指数收益率,4,0
89,中证港股通大消费主题指数收益率(使用估值汇率折算),4,0
90,中证食品饮料指数收益率,4,0
91,中证红利低波动指数收益率,4,0
92,人民币银行活期存款收益率(税后),4,0
93,中证科技100指数收益率,4,0
94,中证养老产业指数收益率,4,0
95,富时中国A50指数收益率,4,0
96,中证全指家用电器指数收益率,4,0
97,中证高端装备制造指数收益率,4,0
98,中证国有企业改革指数,3,0
99,中小板指数收益率,3,0
100,中证500行业中性低波动指数收益率,3,0
101,活期存款利率,3,0
102,中证医药指数收益率,3,0
103,中证内地低碳经济主题指数收益率,3,0
104,中证基建工程指数收益率,3,0
105,中证研发创新100指数收益率,3,0
106,标普中国债券指数收益率,3,0
107,一年期银行定期存款收益率(税后),3,0
108,中证智能汽车主题指数收益率,3,0
109,商业银行活期存款利率,3,0
110,中证农业主题指数收益率,3,0
111,中证精准医疗主题指数收益率,3,0
112,中证互联网指数收益率,3,0
113,国证生物医药指数收益率,3,0
114,恒生指数收益率,3,0
115,中证环境治理指数收益率,3,0
116,中证健康产业指数收益率,3,0
117,中证装备产业指数收益率,3,0
118,中证申万有色金属指数收益率,3,0
119,中证200指数收益率,3,0
120,中证医疗指数收益率,3,0
121,中证移动互联网指数收益率,3,0
122,中证主要消费红利指数收益率,3,0
123,银行人民币活期存款利率,2,0
124,中证申万绩优策略指数收益率,2,0
125,经人民币汇率调整的恒生中国(香港上市)25指数收益率,2,0
126,沪深300医药卫生指数收益率,2,0
127,中证500信息技术指数收益率,2,0
128,上证50AH优选指数收益率,2,0
129,中债综合(全价)指数收益率,2,0
130,中证500等权重指数收益率,2,0
131,中证东方红竞争力指数收益率,2,0
132,中证光伏产业指数收益率,2,0
133,商业银行(税后)活期存款利率,2,0
134,中证华夏AH经济蓝筹股票指数收益率,2,0
135,创业板动量成长指数收益率,2,0
136,深证基本面60指数收益率,2,0
137,中证锐联基本面50指数收益率,2,0
138,易盛郑商所能源化工指数A收益率,2,0
139,中证价值回报量化策略指数收益率,2,0
140,中证新兴科技100策略指数收益率,2,0
141,上证180指数收益率,2,0
142,中证全指可选消费指数收益率,2,0
143,中证大农业指数收益率,2,0
144,中证综合债券指数,2,0
145,同期银行人民币活期存款利率(税后),2,0
146,MSCI中国A股质优价值100指数收益率,2,0
147,中证沪港深高股息指数收益率,2,0
148,中证新兴产业指数收益率,2,0
149,申银万国医药生物行业指数收益率,2,0
150,中证文体指数收益率,2,0
151,MSCI中国A股人民币指数(MSCI China A RMBIndex)收益率,2,0
152,恒生A股行业龙头指数,2,0
153,中证国有企业改革指数收益率,2,0
154,中债总财富指数收益率,2,0
155,中证中金优选300指数收益率,2,0
156,标普港股通低波红利指数收益率,2,0
157,中证全指金融地产指数收益率,2,0
158,中小企业板价格指数收益率,2,0
159,中证装备产业指数,2,0
160,MSCI香港价值增强指数收益率,2,0
161,中证沪港深红利成长低波动指数收益率,2,0
162,中证人工智能产业指数收益率,2,0
163,中证钢铁指数收益率,2,0
164,中证银联智惠大数据100指数收益率,2,0
165,中债国债总指数收益率(全价),2,0
166,富时中国A-H50指数收益率,2,0
167,深证100指数(价格)收益率,2,0
168,国证钢铁行业指数收益率,2,0
169,申万农林牧渔指数收益率,2,0
170,标普沪港深中国增强价值指数收益率,2,0
171,国证创业板中盘精选88指数收益率,2,0
172,MSCI中国A股国际低波动指数收益率,2,0
173,中证淘金大数据100指数收益率,2,0
174,银行活期存款利率(税收),2,0
175,中证红利指数,2,0
176,中证高铁产业指数收益率,2,0
177,中证全指建筑材料指数收益率,2,0
178,中证高新技术企业指数收益率,2,0
179,MSCI中国A股人民币指数收益率,2,0
180,中证港股通高股息精选指数收益率(使用估值汇率折算),2,0
181,深证300指数收益率,2,0
182,中证文体指数,2,0
183,"1%(指年收益率,评价时应按期间折算)",2,0
184,中华交易服务港股通精选100指数收益率(经汇率调整),2,0
185,MSCI中国A股指数(人民币)收益率,2,0
186,MSCI中国A股国际指数收益率,2,0
187,中证医药卫生指数,2,0
188,人民币计价的恒生综合中型股指数收益率,2,0
189,恒生沪深港通细分行业龙头指数收益率,2,0
190,中证全指汽车指数收益率,2,0
191,中证互联网医疗主题指数收益率,2,0
192,深证基本面120指数,2,0
193,巨潮100指数收益率,2,0
194,中证生物医药指数收益率,2,0
195,创业板低波蓝筹指数收益率,2,0
196,中证浙江国资创新发展指数收益率,2,0
197,中证申万电子行业投资指数收益率,2,0
198,中证科技50策略指数收益率,2,0
199,标普中国A股红利机会指数收益率,2,0
200,沪深300指数增长率,2,0
201,金融机构人民币活期存款利(税后),2,0
202,中证中药指数收益率,2,0
203,(人民币/港币汇率,2,0
204,上证中盘指数收益率,2,0
205,中证工业指数收益率,2,0
206,中证科技龙头指数收益率,2,0
207,中证四川国企改革指数收益率,2,0
208,MSCI中国A股消费指数收益率,2,0
209,中国战略新兴产业成份指数收益率,2,0
210,中华交易服务预期高股息指数收益率,2,0
211,中证深圳科技创新主题指数收益率,2,0
212,申银万国制造业指数收益率,2,0
213,中证香港红利等权投资指数,2,0
214,中信中药生产指数收益率,2,0
215,恒生港股通新经济指数收益率(人民币计价),2,0
216,中证细分医药产业主题指数收益率,2,0
217,中华交易服务半导体芯片行业指数收益率,2,0
218,中证红利潜力指数收益率,2,0
219,中证香港银行投资指数收益率,2,0
220,中证500质量成长指数收益率,2,0
221,中证财通中国可持续发展100(ECPI ESG)指数收益率,2,0
222,恒生综合指数收益率,2,0
223,人民币活期存款收益率(税后),2,0
224,沪深300红利低波动指数收益率,2,0
225,中证申万证券行业指数收益率,2,0
226,恒生中国企业指数(使用估值汇率折算)收益率,2,0
227,中证消费龙头指数收益率,2,0
228,中证通信技术主题指数收益率,2,0
229,中证锐联基本面400指数收益率,2,0
230,标普中国A股大盘红利低波50指数收益率,2,0
231,中债-综合指数(全价)收益率,2,0
232,中国人民银行公布的人民币活期存款利率,2,0
233,沪深300非银行金融指数收益率,2,0
234,中证全指运输指数收益率,2,0
235,中证高股息龙头指数收益率,2,0
236,中证国有企业红利指数收益率,2,0
237,中证生物科技主题指数收益率,2,0
238,中证全指信息技术指数收益率,2,0
239,大数据300指数收益率,2,0
240,中小板300价格指数收益率,2,0
241,MSCI中国A股国际价值指数收益率,2,0
242,中证长三角一体化发展主题指数收益率,2,0
243,中证科技驱动100指数收益率,2,0
244,中证南方小康产业指数收益率,2,0
245,MSCI中国A股国际红利指数收益率,2,0
246,固定利率1%,2,1
247,上证消费80指数收益率,2,0
248,中证内地资源指数收益率,2,0
249,MSCI中国A股国际指数(MSCI China A International Index)收益率,2,0
250,中证中信稳健成长策略指数收益率,2,0
251,国证消费100指数收益率,2,0
252,中证万得生物科技指数收益率,2,0
253,中证港股通TMT主题指数收益率(使用估值汇率折算),2,0
254,中证红利低波动100指数收益率,2,0
255,中证港股通TMT主题投资指数收益率(人民币),2,0
256,沪深300价值指数增长率,2,0
257,中证电子指数收益率,2,0
258,中证全指半导体产品与设备指数收益率,2,0
259,深证红利价格指数收益率,2,0
260,中证国信价值指数收益率,2,0
261,银行活期存款(税后),2,0
262,中证港股通高股息投资指数收益率,2,0
263,中证空天一体军工指数收益率,2,0
264,中证质量成长低波动指数收益率,2,0
265,国证半导体芯片指数收益率,2,0
266,深证TMT50指数收益率,2,0
267,中证全指通信设备指数收益率,2,0
268,中证证券保险指数收益率,2,0
269,中证百度百发策略100指数收益率,2,0
270,中证港股通地产指数收益率(使用估值汇率折算),2,0
271,中证杭州湾区指数收益率,2,0
272,中创400指数收益率,2,0
273,中证港股通综合指数收益率,2,0
274,中华交易服务沪深港300指数(人民币)收益率,2,0
275,MSCI中国A股国际质量指数收益率,2,0
276,经估值汇率调整的恒生指数收益率,2,0
277,中证高股息精选指数收益率,2,0
278,中证上游资源产业指数收益率,2,0
279,中证香港银行投资指数收益率(使用估值汇率折算),2,0
280,中证港股通非银行金融主题指数收益率(使用估值汇率折算),2,0
281,中证沪港深优选消费50指数收益率,2,0
282,同期商业银行活期存款基准利率(税后),2,0
283,大数据100指数收益率,2,0
284,上证380指数收益率,2,0
285,MSCI港股通指数收益率(经估值汇率调整),2,0
286,MSCI中国A股国际指数收益率(经汇率调整),2,0
287,国证新能源汽车指数收益率,1,0
288,中证国有企业综合指数收益率,1,0
289,中证沪港深高股息精选指数收益率,1,0
290,国证食品饮料行业指数收益率,1,0
291,中证上海国企指数收益率,1,0
292,中证TMT指数,1,0
293,中证科技传媒通信150指数收益率,1,0
294,中证国有企业综合指数,1,0
295,中证智能家居指数收益率,1,0
296,中证消费服务领先指数,1,0
297,中证云计算与大数据主题指数收益率,1,0
298,中证锐联沪港深基本面100指数收益率,1,0
299,深证300价值价格指数收益率,1,0
300,沪深300运输指数收益率,1,0
301,中证方正富邦保险主题指数收益率,1,0
302,中证500指数,1,0
303,上证社会责任指数收益率,1,0
304,沪深300非周期行业指数收益率,1,0
305,沪深300价值指数收益率,1,0
306,恒生港股通高股息低波动指数收益率,1,0
307,"1%(指年收益率,评价时按期间折算)",1,0
308,中证等权重90指数收益率,1,0
309,国证航天军工指数收益率,1,0
310,中证香港中小企业投资主题指数收益率,1,0
311,中证民营企业综合指数,1,0
312,中信计算机指数收益率,1,0
313,经人民币汇率调整的恒生香港35指数收益率,1,0
314,恒生沪深港通大湾区综合指数收益率,1,0
315,中证沪港深互联网指数,1,0
316,中证800证券保险指数收益率,1,0
317,中证500价格指数收益率,1,0
318,中证中央企业综合指数收益率,1,0
319,中证国防指数收益率,1,0
320,中小板综指收益率,1,0
321,沪深300金融地产指数收益率,1,0
322,中信汽车行业指数收益率,1,0
323,中证内地新能源指数收益率,1,0
324,中证万得并购重组指数收益率,1,0
325,经人民币汇率调整的恒生港股通指数收益率,1,0
326,恒生中国企业指数收益率(使用估值汇率折算),1,0
327,中证中游指数收益率,1,0
328,中信电子元器件指数收益率,1,0
329,中证浙江凤凰行动50指数收益率,1,0
330,中证煤炭等权指数收益率,1,0
331,中证腾讯济安价值100A股指数收益率,1,0
332,中证社会发展安全产业主题指数收益率,1,0
333,中证大宗商品股票指数收益率,1,0
334,MSCI中国A股公用事业指数收益率,1,0
335,国证房地产行业指数收益率,1,0
336,中证TMT产业主题指数,1,0
337,中信农林牧渔一级行业指数收益率,1,0
338,人民银行一年期定存基准收益率(税后),1,0
339,中债总指数(全价)收益率,1,0
340,申万制造业指数收益率,1,0
341,中证800有色金属指数收益率,1,0
342,中证A股资源产业指数收益率,1,0
343,上证非周期行业100指数收益率,1,0
344,中证转型成长指数收益率,1,0
345,深证成指增长率,1,0
346,中证可持续发展100指数收益率,1,0
347,上证周期行业50指数收益率,1,0
348,中证中航军工主题指数收益率,1,0
349,上证180公司治理指数,1,0
350,国证新能源指数收益率,1,0
351,中证智能制造主题指数收益率,1,0
352,中证娱乐主题指数收益率,1,0
353,中证工业4.0指数,1,0
354,巨潮小盘价值指数收益率,1,0
355,深证300价格指数收益率,1,0
356,中证军工价格指数收益率,1,0
357,1年期定期存款利率(税后),1,0
358,中小板价格指数收益率,1,0
359,深证成长40价格指数,1,0
360,中证服务业指数收益率,1,0
361,中证国债指数收益率,1,0
362,中证800地产指数收益率,1,0
363,MSCI中国A股国际通ESG通用指数,1,0
364,中证信息技术指数收益率,1,0
365,上证龙头企业指数收益率,1,0
366,上证180价值指数收益率,1,0
367,中证内地资源主题指数,1,0
368,中证700(中小盘)指数,1,0
369,上证50指数,1,0
370,上证大宗商品股票指数收益率,1,0
371,中证环保指数,1,0
372,中证国企改革指数收益率,1,0
373,中证800金融价格指数收益率,1,0
374,中证一带一路指数收益率,1,0
375,上证中小盘指数,1,0
376,中证消费服务领先指数收益率,1,0
377,恒生指数收益率(使用估值汇率折算),1,0
378,中证医药主题指数收益率,1,0
379,中证移动互联网指数,1,0
380,上证超级大盘指数收益率,1,0
381,银行同业存款收益率(税后),1,0
382,中证体育产业指数收益率,1,0
383,标普中国A股质量价值指数收益率,1,0
384,中证白酒指数收益率,1,0
385,标普中国A股低波红利指数收益率,1,0
386,中证酒指数收益率,1,0
387,沪深300高贝塔指数收益率,1,0
388,"1%(指年收益率,评价时按期间累计天数折算)",1,0
389,沪深300安中动态策略指数收益率,1,0
390,同期人民币活期存款利率,1,0
391,国证有色金属行业指数收益率,1,0
392,中证信息安全主题指数收益率,1,0
393,中证高端制造主题指数收益率,1,0
394,中证申万一带一路主题指数收益率,1,0
395,沪深300地产等权重指数收益率,1,0
396,上证180金融股指数收益率,1,0
397,中证精工制造指数收益率,1,0
398,中证下游消费与服务产业指数收益率,1,0
399,国证医药卫生行业指数收益率,1,0
400,中证800制药与生物科技指数收益率,1,0
401,上证自然资源指数收益率,1,0
402,中证长三角领先指数收益率,1,0
403,申万医药生物行业指数收益率,1,0
404,中证工业4.0指数收益率,1,0
405,富时中国A200指数收益率,1,0
406,中证内地消费主题指数,1,0
407,中证一带一路主题指数收益率,1,0
408,中证申万医药生物指数收益率,1,0
409,沪深300等权重指数收益率,1,0
410,中债国债总指数收益率,1,0
