,业绩比较基准,基准对应的基金数目,基金对应平均比例
160,中证信息技术指数收益率,2,0.0
161,创业板综合指数收益率,2,0.0
162,中证民营企业综合指数,2,0.0
163,沪深300指数增长率,2,0.0
164,中证TMT产业主题指数,2,0.0
165,上证综合指数,2,0.0
166,上证A股指数涨跌幅,2,0.0
167,中证短债指数收益率,2,0.0
168,中证粤港澳大湾区发展主题指数收益率,2,0.0
169,一年期银行定期存款利率,2,0.0
170,中证港股通综合指数(人民币)收益率,2,0.0
171,中证龙头企业指数收益率,2,0.0
172,一年定期存款利率(税后),2,0.0
173,中债国债总全价指数收益率,2,0.0
174,中国人民银行公布的1年期定期存款利率(税后),2,0.0
175,中国战略新兴产业成分指数收益率,2,0.0
176,恒生综合指数收益率,2,0.0
177,中债总财富总指数,2,0.0
178,中债综合指数(财富)收益率,2,0.0
179,(上证国债指数),2,0.0
180,固定利率2.5%,2,1.0
181,中证装备产业指数,2,0.0
182,人民银行一年期银行定期存款基准利率收益率(税后),2,0.0
183,中债指数,2,0.0
184,中证红利指数,2,0.0
185,中证新能源产业指数收益率,2,0.0
186,中证移动互联网指数,2,0.0
187,(上证A股指数和深圳A股指数的总市值加权平均),2,0.0
188,中证互联互通A股策略指数收益率,2,0.0
189,中证平安2035退休宝指数收益率,2,0.0
190,MSCI中国A股国际指数收益率,2,0.0
191,中证全指工业指数收益率,2,0.0
192,中证沪港深高股息精选指数收益率,2,0.0
193,同期银行活期存款利率,2,0.0
194,上证A股指数收益率,1,0.0
195,固定利率沪深300指数收益率50%,1,1.0
196,上证180指数收益率与深证100指数收益率的流通市值加权平均,1,0.0
197,MSCI中国A股(人民币)指数收益率,1,0.0
198,中证1000指数,1,0.0
199,富时中国A600成长行业指数,1,0.0
200,中证高端装备制造指数收益率,1,0.0
201,同期商业银行活期存款利率(税后),1,0.0
202,中证装备产业指数收益率,1,0.0
203,中债新综合指数(全价)收益率,1,0.0
204,中债总财富指数(总值)收益率,1,0.0
205,沪深300相对成长指数收益率,1,0.0
206,中证信息技术指数,1,0.0
207,富时中国A200指数,1,0.0
208,标普中国A股100指数,1,0.0
209,标普中国A股300成长指数,1,0.0
210,人民币一年期定期存款利率(税后),1,0.0
211,上证高端装备60指数收益率,1,0.0
212,MSCI中国A指数,1,0.0
213,中证500指数(000905),1,0.0
214,国证航天军工指数收益率,1,0.0
215,申万医药生物行业指数,1,0.0
216,中证全指主要消费指数收益率,1,0.0
217,中债国债总指数(财富),1,0.0
218,中证兴业证券ESG盈利100指数收益率,1,0.0
219,沪深300收益率,1,0.0
220,中信标普300指数,1,0.0
221,富时中国国债指数收益率,1,0.0
222,中证精准医疗主题指数收益率,1,0.0
223,中债总财富(总值)指数涨跌幅,1,0.0
224,中证医疗指数收益率,1,0.0
225,中债国债总指数(全价)收益率,1,0.0
226,沪深300成长指数,1,0.0
227,中证国防安全指数收益率,1,0.0
228,上证A指收益率,1,0.0
229,中证全债指数收,1,0.0
230,中债综合指数(总财富)收益率,1,0.0
231,三年期银行定期存款利率,1,0.0
232,富时中国A600周期行业指数,1,0.0
233,中证城镇消费指数收益率,1,0.0
234,巨潮200(大盘)指数收益率,1,0.0
235,上证红利指数,1,0.0
236,上证180指数和深证100指数的复合指数,1,0.0
237,巨潮500(小盘)指数收益率,1,0.0
238,中证健康产业指数,1,0.0
239,中证大农业指数,1,0.0
240,中证长三角一体化发展主题指数收益率,1,0.0
241,深证成份指数收益率,1,0.0
242,人民币活期存款利率(税后),1,0.0
243,富时中国A股红利150指数,1,0.0
244,中证科技100指数收益率,1,0.0
245,中证800指数(CSI800),1,0.0
246,中证内地消费指数涨跌幅,1,0.0
247,人民币计价的恒生指数收益率,1,0.0
248,金融机构人民币活期存款基准利率(税后),1,0.0
249,中证中财沪深100ESG领先指数收益率,1,0.0
250,沪深300价值指数收益率,1,0.0
251,富时中国A全指,1,0.0
252,中证主要消费行业指数收益率,1,0.0
253,中债国债总指数(全价),1,0.0
254,中证800股票指数收益率,1,0.0
255,中证全债指数增长率,1,0.0
256,中债-新综合指数(财富)收益率,1,0.0
257,恒生中国企业指数(使用估值汇率折算)收益率,1,0.0
258,中国债券综合财富指数收益率,1,0.0
259,中证工银财富股票混合基金指数收益率,1,0.0
260,标普中国A股红利机会指数收益率,1,0.0
261,固定利率5%,1,1.0
262,中证主要消费行业指数,1,0.0
263,中信标普50指数收益率,1,0.0
264,沪深300股票指数收益率,1,0.0
265,中证国防指数收益率,1,0.0
266,中证长三角龙头企业指数收益率,1,0.0
267,天相280指数,1,0.0
268,上证红利指数收益率,1,0.0
269,中证消费指数收益率,1,0.0
270,富时中国A600稳定行业指数,1,0.0
271,上证国债指数指数收益率,1,0.0
272,中证中游制造产业指数,1,0.0
273,中证800成长指数,1,0.0
274,中证内地新能源主题指数收益率,1,0.0
275,固定利率4%,1,1.0
276,富时中国A600成长指数收益率,1,0.0
277,中证健康产业指数收益率,1,0.0
278,中证沪港深互联互通综合指数收益率,1,0.0
279,中证全指医药卫生指数收益率,1,0.0
280,上证国债收益率,1,0.0
281,同业存款利率(税后),1,0.0
282,富时中国A股红利150指数收益率,1,0.0
283,固定利率1.75%,1,1.0
284,中债国债指数,1,0.0
285,中证珠三角沿海区域发展主题指数,1,0.0
286,中证环保指数,1,0.0
287,标普中国全债指数收益率,1,0.0
288,中证新能源指数,1,0.0
289,上证综指,1,0.0
290,同业存款收益率,1,0.0
291,上证综合指数收益率,1,0.0
292,中债新综合财富(总值)指数,1,0.0
293,中证医药100指数收益率,1,0.0
294,固定利率1.50%,1,1.0
295,中证人工智能主题指数收益率,1,0.0
296,中证文体休闲指数收益率,1,0.0
297,三年期银行定期整存整取存款利率(税后),1,0.0
298,中国债券综合全价(总值)指数收益率,1,0.0
299,中证100指数,1,0.0
300,中证800价值指数收益率,1,0.0
301,中证工银财富动态配置基金指数收益率,1,0.0
302,富时中国A股蓝筹价值100指数,1,0.0
