,业绩比较基准,基准对应的基金数目,基金对应平均比例
70,三年期定期存款收益率(税后),4,1
71,二年期银行定期存款收益率(税后),4,1
72,中债-中国高等级债券指数收益率,3,1
73,中债企业债总指数,3,1
74,中债综合财富指数,3,1
75,中债总全价指数(总值),3,1
76,中债短融总指数,3,1
77,中债-金融债券总全价(总值)指数收益率,3,1
78,中债-综合财富(1-3年)指数收益率,3,1
79,中债综合财富指数(1-3年)指数收益率,3,1
80,每个封闭期同期对应的一年期定期存款利率(税后),3,1
81,中证信用债指数,3,1
82,中债-综合全价(1-3年)指数收益率,3,1
83,中债高信用等级债券全价指数收益率,3,1
84,同期一年期定期存款利率(税后),3,1
85,中债新综合指数(全价),3,1
86,三年期定期存款利率(税后),2,1
87,每个封闭期同期对应的三个月期定期存款利率(税后),2,1
88,一年期定期存款收益率(税后),2,1
89,中债信用债总财富(1-3年)指数收益率,2,1
90,中债综合全价(3-5年)指数收益率,2,1
91,中债高信用等级债券财富(总值)指数收益率,2,1
92,中证可转换债券指数,2,1
93,一年期银行定期存款收益率(税前),2,1
94,中债总指数(总值)财富指数收益率,2,1
95,中国债券综合全价指数的收益率,2,1
96,中债-1-30年利率债财富(1-3年)指数收益率,2,1
97,银行一年期定期存款利率(税后),2,1
98,中债-1-5年国开行债券指数,2,1
99,上海清算所1-3年高等级国企中期票据指数(全价)收益率,2,1
100,中债-国债(7-10年)总指数收益率,2,1
101,中债-1-3年政策性金融债指数(全价)收益率,2,1
102,6个月定期存款利率(税后),2,1
103,中债新综合全价(总值)指数收益率,2,1
104,中证政策性金融债1-3年指数收益率,2,1
105,每个封闭期同期对应的二年期定期存款利率(税后),2,1
106,一年期银行定期存款收益率(税后),2,1
107,中债—中国绿色债券全价指数收益率,2,1
108,1年期银行定期存款基准利率,2,1
109,中债综合全价指数(0571.CS)收益率,2,1
110,中债综合全价(总值)指数收益,2,1
111,六个月定期存款基准利率(税后),2,1
112,3个月期上海银行间同业拆放利率(Shibor 3M),2,1
113,同期一年期银行定期存款基准利率,2,1
114,中债综合(1年以下)指数收益率,2,1
115,该封闭期起始日的中国人民银行公布并执行的金融机构三年期定期存款利率(税后),2,1
116,中债-1-30年利率债财富(3-5年)指数收益率,2,1
117,七天通知存款利率(税前),2,1
118,中证5年恒定久期国开债指数收益率,2,1
119,iBoxx亚债中国指数,2,1
120,中国债券综合全价(总值)指数收益率,2,1
121,中国债券总全价指数收益率,2,1
122,同期1年期银行定期存款利率(税后),2,1
123,3年期定期存款利率(税后),2,1
124,中债总财富总指数,2,1
125,中债-3-5年国开行债券指数收益率,2,1
126,中债-金融债券总指数(全价)收益率,2,1
127,中债综合全价(1年以下)指数收益率,2,1
128,中债-国开行债券总全价(1-3年)指数收益率,2,1
129,中债-3-5年政策性金融债指数(全价)收益率,2,1
130,中债-新综合指数(财富)收益率,2,1
131,中债综合财富(一年以下)指数收益率,2,1
132,中债-新综合指数,2,1
133,中证政策性金融债3-5年指数收益率,2,1
134,中债综合指数(总财富),2,1
135,中国债券综合(全价)指数收益率,1,1
136,中债金融债全价指数收益率,1,1
137,中债-中高等级公司债利差因子指数收益率,1,1
138,中国人民银行公布并执行的金融机构两年期定期存款利率(税后),1,1
139,中国人民银行公布的六个月银行定期整存整取存款利率(税后),1,1
140,半年期银行定期存款利率(税后),1,1
141,中债3-5年期国债指数收益率,1,1
142,同期三年定期存款利率(税后),1,1
143,中证政策性金融债8-10年指数收益率,1,1
144,该封闭期起始日的中债5年期国开债到期收益率,1,1
145,中证可转债及可交换债券指数收益率,1,1
146,上证国债指数,1,1
147,中债新综合财富指数,1,1
148,中国债券总指数(全价)收益率,1,1
149,中债国债总财富(1-3年)指数收益率,1,1
150,上证10年期地方政府债指数收益率,1,1
151,中债-0-3年长三角地方政府债指数收益率,1,1
152,中债国开行债券总财富(1-3年)指数收益率,1,1
153,中证国债及政策性金融债指数收益率,1,1
154,上证3-5年期中高评级可质押信用债指数收益率,1,1
155,银行活期存款利率(税后),1,1
156,1年期银行定期存款利率(税后),1,1
157,中债国债及政策性银行债指数收益率,1,1
158,三个月银行定期存款收益率(税后),1,1
159,中证5-10年期国债活跃券指数收益率,1,1
160,中国债券总指数(全价),1,1
161,上证5年期国债指数收益率,1,1
162,国证利率债指数收益率,1,1
163,上证1-5年期地方政府债指数收益率,1,1
164,中债3-5年期农发行债券指数收益率,1,1
165,三年期银行定期存款利率(税后),1,1
166,中证5年期地方政府债指数收益率,1,1
167,同期中国人民银行公布的3个月期定期存款基准利率(税后),1,1
168,中债-国债及政策性银行债指数(全价)收益率,1,1
169,中证金边中期国债指数,1,1
170,中证10年期国债指数收益率,1,1
171,中证政策性金融债指数收益率,1,1
172,固定利率固定业绩基准3.0%,1,1
173,封闭期起始日的中国人民银行公布并执行的金融机构3年期定期存款利率(税后),1,1
174,上证5年期地方政府债指数收益率,1,1
175,中债-总全价(1-3年)指数收益率,1,1
176,中债-1-3年国开行债券指数收益率,1,1
177,中债-0-5年广东省地方政府债指数,1,1
178,中证短融指数收益率,1,1
179,该封闭期起始日的中国人民银行公布并执行的金融机构2年期定期存款利率(税后),1,1
180,同期三年期银行定期存款利率(税后),1,1
181,中国债券指数,1,1
182,中债新综合指数收益率(全价),1,1
183,中国人民银行公布并执行的金融机构一年期定期存款利率(税后),1,1
184,中债新综合财富(总值)指数,1,1
185,中债-1-5年国开行债券指数收益率,1,1
186,上证城投债指数收益率,1,1
187,每个封闭期同期对应的六个月期定期存款利率(税后),1,1
188,上证10年期国债指数收益率,1,1
189,上证投资级可转债及可交换债券指数收益率,1,1
190,中证0-4年期地方政府债指数收益率,1,1
