,业绩比较基准,基准对应的基金数目
178,中证500指数收益率*95%+商业银行活期存款利率(税前)*5%,4
557,中证环保产业指数收益率*95%+银行活期存款利率(税后)*5%,4
708,创业板综合指数收益率*90%+银行活期存款利率(税后)*10%,4
861,沪深300指数收益率*95%+1.5%,4
479,中证新兴产业指数收益率*75%+中证综合债券指数收益率*15%+中证港股通综合指数(人民币)收益率*10%,4
466,中证央企创新驱动指数收益率,4
628,中证计算机主题指数收益率*95%+银行活期存款利率(税后)*5%,4
156,中证500指数收益率*80%+上证国债指数收益率*20%,4
936,粤港澳大湾区创新100指数收益率*95%+银行人民币活期存款利率(税后)*5%,4
652,中证银行指数收益率*95%+银行活期存款利率(税后)*5%,4
584,中证科技100指数收益率*95%+银行活期存款利率(税后)*5%,4
3,MSCI中国A股人民币指数收益率,4
33,MSCI中国A股指数收益率*95%+银行人民币活期存款利率(税后)*5%,4
55,上证50指数收益率,4
353,中证全指证券公司指数收益率*95%+银行活期存款利率(税后)*5%,3
568,中证申万有色金属指数收益率*95%+银行人民币活期存款利率(税后)*5%,3
231,中证800指数收益率*85%+中证全债指数收益率*15%,3
129,中证1000指数收益率*95%+同期银行活期存款利率(税后)*5%,3
492,中证新能源汽车指数收益率,3
756,恒生指数收益率*80%+中证全债指数收益率*20%,3
137,中证100指数收益率*95%+一年期银行储蓄存款利率(税后)*5%,3
798,沪深300指数收益率*45+人民币计价的恒生指数收益率*45+*中证全债指数收益率*10%,3
509,中证沪港深500指数收益率,3
235,中证800指数收益率*90%+上证国债指数收益率*10%,3
469,中证央企结构调整指数收益率,3
916,深证成份指数收益率*95%+银行活期存款利率(税后)*5%,3
715,国证半导体芯片指数收益率,3
795,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,3
850,沪深300指数收益率*90%+中国债券总指数收益率*10%,3
224,中证800指数收益率*80%+中国债券总指数收益率*20%,3
220,中证800指数收益率*80%+中债综合指数收率*20%,3
444,中证国企一带一路指数收益率,3
217,中证800指数收益率*80%+上证国债指数收益率*20%,3
600,中证精准医疗主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,3
25,MSCI中国A股国际通指数收益率*95%+银行人民币活期存款利率(税后)*5%,3
738,央视财经50指数收益率*95%+银行活期存款利率(税后)*5%,3
640,中证金融地产指数收益率*95%+银行活期存款利率(税后)*5%,3
845,沪深300指数收益率*85%+标普中国债券指数收益率*15%,3
832,沪深300指数收益率*80%+中债综合财富指数收益率*20%,3
608,中证红利指数收益率,3
428,中证医药卫生指数收益率*80%+中证全债指数收益率*20%,3
838,沪深300指数收益率*85%+上证国债指数收益率*15%,3
345,中证全指证券公司指数,3
579,中证研发创新100指数收益率*95%+银行活期存款利率(税后)*5%,3
902,深证100指数收益率*95%+银行同业存款利率*5%,3
895,深证100价格指数收益率*95%+银行活期存款利率(税后)*5%,3
317,中证全指一级行业能源指数收益率*40%+中证全指一级行业材料指数收益率*40%+中债综合指数收益率*20%,3
59,上证50指数收益率*95%+活期存款利率(税后)*5%,3
787,沪深300指数*90%+同业存款利率*10%,3
341,中证全指房地产指数收益率*95%+银行人民币活期存款利率(税后)*5%,3
284,中证主要消费指数收益率*95%+银行活期存款利率(税后)*5%,3
296,中证人工智能主题指数收益率,3
405,中证医药100指数收益率*80%+中债综合全价(总值)指数收益率*20%,2
328,中证全指医药卫生指数收益率*95%+银行活期存款利率(税后)*5%,2
743,富时中国A50指数收益率*95%+银行活期存款收益率(税后)*5%,2
611,中证红利指数收益率*95%+同期银行活期存款利率(税后)*5%,2
744,巨潮100指数收益率*95%+银行同业存款利率*5%,2
330,中证全指半导体产品与设备指数收益率*95%+银行活期存款利率(税后)*5%,2
407,中证医药100指数收益率*95%+银行活期存款利率(税后)*5%,2
406,中证医药100指数收益率*95%+活期存款利率(税后)*5%,2
612,中证红利指数收益率*95%+活期存款利率(税后)*5%,2
404,中证医疗指数收益率*95%+银行活期存款利率(税后)*5%,2
332,中证全指原材料指数收益率*80%+中证全指能源指数收益率*10%+银行活期存款利率(税后)*10%,2
741,富时中国A50指数收益率,2
639,中证金融地产指数收益率*90%+人民币活期存款利率(税后)*10%,2
772,沪深300价值指数增长率*95%+银行同业存款利率*5%,2
402,中证医疗指数收益率,2
401,中证创新药产业指数收益率,2
400,中证创新药产业指数,2
742,富时中国A50指数收益率*95%+银行活期存款利率(税后)*5%,2
770,标普沪港深中国增强价值指数收益率*95%+人民币银行活期存款利率(税后)*5%,2
775,沪深300医药卫生指数收益率*95%+活期存款利率(税后)*5%,2
419,中证医药卫生指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生医疗保健指数收益率(经汇率调整)*10%,2
607,中证红利指数*95%+银行活期存款利率(税后)*5%,2
316,中证光伏产业指数收益率*95%+银行活期存款利率(税后)*5%,2
627,中证计算机主题指数收益率,2
421,中证医药卫生指数收益率*70%+中债综合财富指数收益率*20%+恒生医疗保健指数收益率*10%,2
609,中证红利指数收益率*70%+上证国债指数收益率*20%+中证港股通综合指数收益率*10%,2
318,中证全指一级行业能源指数收益率*45%+中证全指一级行业材料指数收益率*45%+中债综合指数收益率*10%,2
319,中证全指一级行业金融指数收益率*70%+恒生金融行业指数收益率*20%+中债综合财富指数收益率*10%,2
610,中证红利指数收益率*90%+一年期银行储蓄存款利率(税后)*10%,2
737,央视财经50指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2
320,中证全指主要消费指数*50%+中证全指可选消费指数*40%+银行活期存款利率(税后)*10%,2
747,恒生A股行业龙头指数*95%+银行活期存款收益率(税后)*5%,2
418,中证医药卫生指数收益率*70%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,2
417,中证医药卫生指数收益率*70%+中债综合(全价)指数收益率*20%+恒生医疗保健指数收益率*10%,2
416,中证医药卫生指数收益率*60%+恒生指数收益率*20%+中债综合指数收益率*20%,2
630,中证财通中国可持续发展100(ECPI ESG)指数收益率*95%+银行活期存款利率(税后)*5%,2
415,中证医药卫生指数收益率*45%+中证内地消费主题指数收益率*45%+人民币活期存款利率(税后)*10%,2
322,中证全指信息技术指数收益率*80%+中证全指电信业务指数收益率*10%+银行活期存款利率(税后)*10%,2
323,中证全指信息技术指数收益率*95%+银行活期存款利率(税后)*5%,2
326,中证全指医药卫生指数收益率*90%+商业银行人民币活期存款利率(税后)*10%,2
739,富时中国A-H50指数收益率*95%+同期银行活期存款利率(税后)*5%,2
399,中证农业主题指数收益率*95%+银行活期存款利率(税后)*5%,2
615,中证红利潜力指数收益率*95%+银行活期存款利率(税后)*5%,2
748,恒生中国企业指数(使用估值汇率折算)收益率*95%+银行人民币活期存款利率(税后)*5%,2
343,中证全指汽车指数收益率*95%+活期存款利率(税后)*5%,2
369,中证内地消费主题指数收益率*55%+中证港股通主要消费综合指数(人民币)收益率*30%+中证综合债指数收益率*15%,2
760,恒生港股通新经济指数收益率(人民币计价)*95%+银行活期存款利率(税后)*5%,2
364,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,2
363,中证养老产业指数收益率*95%+银行活期存款利率(税后)*5%,2
764,易盛郑商所能源化工指数A收益率*95%+银行活期存款收益率(税后)*5%,2
360,中证全指金融地产指数收益率*95%+银行活期存款利率(税后)*5%,2
358,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,2
339,中证全指房地产指数收益率,2
767,标普中国A股大盘红利低波50指数收益率*95%+银行活期存款利率(税后)*5%,2
356,中证全指运输指数收益率*80%+中债总指数收益率*20%,2
768,标普中国A股红利机会指数收益率*95%+同期银行活期存款利率(税后)*5%,2
354,中证全指资本品指数收益率*30%+中证全指运输指数收益率*30%+中证全指原材料指数收益率*20%+中债综合财富指数收益率*15%+恒生指数收益率*5%,2
340,中证全指房地产指数收益率*95%+人民币活期存款利率(税后)*5%,2
618,中证细分医药产业主题指数收益率*95%+商业银行活期存款利率(税后)*5%,2
351,中证全指证券公司指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2
349,中证全指证券公司指数收益率*95%+同期银行活期存款利率(税后)*5%,2
634,中证通信技术主题指数收益率*95%+银行活期存款利率(税后)*5%,2
342,中证全指指数收益率*70%+恒生综合指数收益率*20%+中债综合财富(总值)指数收益率*10%,2
348,中证全指证券公司指数收益率*95%+人民币银行活期存款利率(税后)*5%,2
347,中证全指证券公司指数收益率*95%+人民币活期存款利率(税后)*5%,2
620,中证细分食品饮料产业主题指数收益率,2
759,恒生沪深港通细分行业龙头指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
371,中证内地消费主题指数收益率*70%+中债总指数收益率*20%+恒生综合指数收益率*10%,2
372,中证内地消费主题指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*10%,2
335,中证全指可选消费指数收益率*95%+银行活期存款利率(税后)*5%,2
392,中证军工指数收益率*80%+上证国债指数收益率*20%,2
391,中证军工指数收益率,2
390,中证军工指数,2
751,恒生中国企业指数收益率(经汇率调整),2
387,中证内地资源指数收益率*90%+人民币活期存款利率(税后)*10%,2
386,中证内地资源主题指数收益率*70%+中债综合财富指数收益率*10%+恒生能源行业指数收益率*10%+恒生原材料行业指数收益率*10%,2
754,恒生指数收益率(经汇率调整)*80%+中债综合财富(总值)指数收益率*15%+沪深300指数收益率*5%,2
334,中证全指可选消费指数收益率*70%+中证全指主要消费指数收益率*20%+银行活期存款利率(税后)*10%,2
383,中证内地消费主题指数收益率*90%+人民币活期存款利率(税后)*10%,2
381,中证内地消费主题指数收益率*85%+中证综合债券指数收益率*15%,2
373,中证内地消费主题指数收益率*70%+恒生综合指数收益率*20%+中证综合债券指数收益率*10%,2
771,标普港股通低波红利指数收益率*95%+银行活期存款收益率(税后)*5%,2
631,中证质量成长低波动指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2
378,中证内地消费主题指数收益率*80%+中证综合债指数收益率*20%,2
376,中证内地消费主题指数收益率*80%+中债综合财富指数收益率*20%,2
375,中证内地消费主题指数收益率*80%+中债综合指数收益率*15%+恒生指数收益率*5%,2
374,中证内地消费主题指数收益率*75%+中证综合债指数收益率*15%+中证港股通主要消费综合指数收益率*10%,2
424,中证医药卫生指数收益率*80%+中债-综合指数(全价)收益率*20%,2
338,中证全指建筑材料指数收益率*95%+活期存款利率(税后)*5%,2
623,中证装备产业指数*90%+同业存款利率(税后)*10%,2
735,大数据300指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
664,中证食品饮料指数收益率*80%+中证综合债指数收益率*15%+恒生必需性消费业指数收益率(经汇率调整)*5%,2
425,中证医药卫生指数收益率*80%+中债总指数收益率*20%,2
426,中证医药卫生指数收益率*80%+中债总财富(总值)指数收益率*20%,2
522,中证浙江国资创新发展指数收益率*95%+银行活期存款利率(税后)*5%,2
688,创业板50指数收益率*95%+人民币银行活期存款利率(税后)*5%,2
690,创业板50指数收益率*95%+商业银行(税后)活期存款利率*5%,2
516,中证沪港深高股息指数收益率*95%+银行活期存款利率(税后)*5%,2
515,中证沪港深红利成长低波动指数收益率*95%+银行活期存款利率(税后)*5%,2
692,创业板低波蓝筹指数收益率*95%+人民币活期存款利率(税后)*5%,2
513,中证沪港深优选消费50指数收益率*95%+银行活期存款利率(税后)*5%,2
512,中证沪港深互联网指数收益率,2
694,创业板动量成长指数收益率*95%+人民币活期存款利率(税后)*5%,2
695,创业板大盘指数收益率,2
696,创业板指数,2
662,中证长三角龙头企业指数收益率*30%+中证珠三角沿海区域发展主题指数收益率*30%+恒生综合指数收益率*20%+中债总指数收益率*20%,2
506,中证杭州湾区指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
698,创业板指数收益率*95%+一年期人民币定期存款利率(税后)*5%,2
699,创业板指数收益率*95%+一年期银行储蓄存款利率(税后)*5%,2
502,中证智能汽车主题指数收益率*95%+银行活期存款利率(税后)*5%,2
700,创业板指数收益率*95%+人民币活期存款利率(税后)*5%,2
500,中证智能汽车主题指数收益率,2
702,创业板指数收益率*95%+活期存款利率(税后)*5%,2
569,中证申万电子行业投资指数收益率*95%+银行同业存款利率*5%,2
570,中证申万绩优策略指数收益率*95%+银行活期存款利率(税后)*5%,2
659,中证长三角一体化发展主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
573,中证电子50指数收益率,2
575,中证电子指数收益率*95%+银行活期存款利率(税后)*5%,2
705,创业板指数收益率*95%+银行活期存款利率*5%,2
686,人民币计价的恒生综合中型股指数收益率*95%+人民币活期存款收益率(税后)*5%,2
564,中证生物科技主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
685,人民币计价的恒生指数收益率*70%+沪深300指数收益率*15%+中证全债指数收益率*15%,2
677,中证高端装备制造指数收益率*90%+中证全债指数收益率*10%,2
665,中证食品饮料指数收益率*90%+商业银行人民币活期存款利率(税后)*10%,2
562,中证生物医药指数收益率*95%+银行活期存款利率(税后)*5%,2
556,中证环保产业指数收益率*95%+商业银行活期存款利率(税后)*5%,2
666,中证食品饮料指数收益率*95%+银行活期存款利率(税后)*5%,2
668,中证香港红利等权投资指数*95%+银行活期存款利率(税后)*5%,2
670,中证香港银行投资指数收益率(使用估值汇率折算)*95%+金融机构人民币活期存款利率(税后)*5%,2
671,中证香港银行投资指数收益率*95%+银行活期存款利率(税后)*5%,2
672,中证高新技术企业指数收益率*90%+中证全债指数收益率*10%,2
546,中证煤炭指数收益率*95%+银行活期存款利率(税后)*5%,2
675,中证高端装备制造指数收益率*75%+中证全债指数收益率*15%+恒生指数收益率*10%,2
676,中证高端装备制造指数收益率*80%+中证综合债指数收益率*20%,2
542,中证港股通高股息精选指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%,2
682,中证高股息龙头指数收益率*95%+活期存款利率(税后)*5%,2
563,中证生物科技主题指数收益率,2
541,中证港股通高股息投资指数收益率*95%+银行活期存款利率(税后)*5%,2
540,中证港股通非银行金融主题指数收益率(使用估值汇率折算)*95%+金融机构人民币活期存款利率(税后)*5%,2
537,中证港股通大消费主题指数收益率(使用估值汇率折算)*95%+金融机构人民币活期存款利率(税后)*5%,2
536,中证港股通大消费主题指数收益率(使用估值汇率折算)*90%+中债综合(全价)指数收益率*10%,2
535,中证港股通地产指数收益率(使用估值汇率折算)*95%+金融机构人民币活期存款利率(税后)*5%,2
534,中证港股通TMT主题指数收益率(使用估值汇率折算)*95%+金融机构人民币活期存款利(税后)*5%,2
680,中证高股息精选指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
532,中证深圳科技创新主题指数收益率*95%+银行活期存款利率(税后)*5%,2
531,中证淘金大数据100指数收益率*95%+银行活期存款利率(税后)*5%,2
530,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,2
656,中证锐联基本面50指数收益率*95%+银行同业存款收益率*5%,2
577,中证百度百发策略100指数收益率*95%+银行活期存款利率(税后)*5%,2
493,中证新能源汽车指数收益率*80%+中证综合债指数收益率*20%,2
603,中证红利低波动100指数收益率*95%+银行活期存款利率(税后)*5%,2
723,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,2
452,中证国有企业改革指数*95%+银行人民币活期存款利率(税后)*5%,2
450,中证国信价值指数收益率*95%+银行活期存款利率(税后)*5%,2
726,国证生物医药指数收益率*95%+银行活期存款利率(税后)*5%,2
447,中证国企一带一路指数收益率*95%+银行活期存款利率(税后)*5%,2
597,中证空天一体军工指数收益率*95%+银行活期存款利率(税后)*5%,2
446,中证国企一带一路指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
445,中证国企一带一路指数收益率*95%+活期存款利率(税后)*5%,2
443,中证四川国企改革指数收益率*95%+银行活期存款利率(税后)*5%,2
643,中证银联智惠大数据100指数收益率*95%+银行活期存款利率(税后)*5%,2
642,中证钢铁指数收益率*95%+银行活期存款利率(税后)*5%,2
440,中证南方小康产业指数收益率*95%+银行活期存款利率(税后)*5%,2
461,中证基建工程指数收益率*95%+银行活期存款利率(税后)*5%,2
438,中证华夏AH经济蓝筹股票指数收益率*95%+中国人民银行公布的人民币活期存款利率*5%,2
605,中证红利低波动指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
559,中证环境治理指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
435,中证医药卫生指数收益率*95%+银行活期存款利率(税后)*5%,2
434,中证医药卫生指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
433,中证医药卫生指数收益率*95%+商业银行活期存款利率(税后)*5%,2
431,中证医药卫生指数收益率*90%+人民币活期存款利率(税后)*10%,2
606,中证红利低波动指数收益率*95%+银行活期存款利率(税后)*5%,2
733,国证香蜜湖金融科技指数,2
429,中证医药卫生指数收益率*80%+恒生指数收益率(使用估值汇率折算)*10%+中债总指数(全价)收益率*10%,2
734,大数据100指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
455,中证国有企业红利指数收益率*90%+商业银行活期存款利率(税后)*10%,2
716,国证半导体芯片指数收益率*95%+人民币活期存款利率(税后)*5%,2
578,中证研发创新100指数,2
649,中证银行指数收益率*95%+活期存款利率(税后)*5%,2
491,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
583,中证科技100指数收益率*40%+中证主要消费指数收益率*40%+恒生综合指数收益率*10%+中债综合指数收益率*10%,2
490,中证新能源汽车产业指数收益率*90%+人民币活期存款利率(税后)*10%,2
488,中证新能源指数收益率*75%+中证全债指数收益率*15%+恒生能源行业指数收益率*10%,2
707,创业板综合指数收益率*90%+人民币活期存款利率(税后)*10%,2
486,中证新能源指数收益率*60%+中证高端装备制造指数收益率*20%+中证港股通工业综合指数收益率*10%+中证短债指数收益率*10%,2
485,中证新能源指数收益率*45%+中证全指原材料指数收益率*45%+商业银行人民币活期存款利率(税后)*10%,2
587,中证科技50策略指数收益率*95%+银行活期存款利率(税后)*5%,2
483,中证新兴科技100策略指数收益率*95%+银行活期存款(税后)利率*5%,2
650,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,2
710,创业板综合指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
478,中证新兴产业指数收益率*60%+恒生综合指数收益率*20%+中国债券综合全价指数收益率*20%,2
465,中证大数据产业指数收益率,2
477,中证文体指数收益率*80%+中债综合财富(总值)指数收益率*20%,2
476,中证文体指数*80%+中债综合指数*20%,2
474,中证工业指数收益率*90%+人民币活期存款利率(税后)*10%,2
713,国证创业板中盘精选88指数收益率*95%+银行活期存款利率(税后)*5%,2
590,中证科技驱动100指数收益率*90%+中证全债指数收益率*10%,2
1,(人民币/港币汇率*恒生指数)收益率*95%+人民币活期存款利率(税后)*5%,2
591,中证科技龙头指数收益率,2
592,中证科技龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,2
629,中证证券保险指数收益率*95%+银行活期存款利率(税后)*5%,2
647,中证银行指数收益率*95%+同期银行活期存款利率(税后)*5%,2
646,中证银行指数收益率*95%+人民币活期存款利率(税后)*5%,2
436,中证医药指数收益率*80%+中债综合指数收益率*20%,2
943,道琼斯中国88指数,2
198,中证5G通信主题指数收益率*95%+银行活期存款利率(税后)*5%,2
175,中证500指数收益率*95%+人民币活期存款利率(税后)*5%,2
842,沪深300指数收益率*85%+中债综合全价指数收益率*15%,2
189,中证500等权重指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,2
844,沪深300指数收益率*85%+中证综合债指数收益率*15%,2
910,深证TMT50指数收益率*95%+商业银行活期存款利率(税后)*5%,2
184,中证500指数收益率*95%+银行活期存款(税后)利率*5%,2
925,申万医药生物行业指数收益率*70%+中证港股通医药卫生综合指数收益率*15%+中债总指数收益率*15%,2
183,中证500指数收益率*95%+银行同业存款利率*5%,2
65,上证中盘指数收益率*95%+活期存款利率(税后)*5%,2
176,中证500指数收益率*95%+人民币银行活期存款收益率(税后)*5%,2
100,中信计算机指数收益率*30%+中信通信指数收益率*30%+中信电子元器件指数收益率*30%+商业银行人民币活期存款利率(税后)*10%,2
104,中创400指数收益率*95%+银行活期存款利率(税后)*5%,2
173,中证500指数收益率*95%+一年期银行储蓄存款利率(税后)*5%,2
848,沪深300指数收益率*90%+中债综合财富(总值)指数收益率*10%,2
912,深证基本面120指数*95%+银行同业存款利率*5%,2
923,申万农林牧渔指数收益率*80%+中债总指数收益率*20%,2
169,中证500指数收益率*95%+1%,2
922,深证红利价格指数收益率*95%+银行活期存款收益率(税后)*5%,2
168,中证500指数收益率*90%+银行活期存款利率(税后)*10%,2
880,沪深300红利低波动指数收益率*95%+银行活期存款(税后)*5%,2
851,沪深300指数收益率*90%+中证全债指数收益率*5%+活期存款利率*5%,2
39,MSCI香港价值增强指数收益率*95%+银行活期存款利率(税后)*5%,2
191,中证500行业中性低波动指数收益率*95%+商业银行活期存款利率(税后)*5%,2
193,中证500质量成长指数收益率*95%+银行活期存款利率(税后)*5%,2
840,沪深300指数收益率*85%+中债总指数收益率*15%,2
110,中华交易服务预期高股息指数收益率*95%+银行活期存款利率(税后)*5%,2
219,中证800指数收益率*80%+中债综合全价指数收益率*10%+恒生指数收益率*10%,2
828,沪深300指数收益率*80%+中债总指数收益率*20%,2
216,中证800指数收益率*75%+上证国债指数收益率*15%+中证港股通指数收益率*10%,2
37,MSCI中国A股质优价值100指数收益率*95%+银行活期存款(税后)利率*5%,2
214,中证800指数收益率*70%+中证港股通综合指数(人民币)收益率*15%+中债综合全价(总值)指数收益率*15%,2
213,中证800指数收益率*65%+中证港股通综合指数收益率*25%+银行活期存款利率(税后)*10%,2
212,中证800指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+中债总指数收益率*15%,2
830,沪深300指数收益率*80%+中债综合指数收益率(全价)*20%,2
210,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,2
209,中证800指数收益率*50%+中证互联网指数收益率*20%+中证港股通科技指数收益率*20%+银行活期存款利率(税后)*10%,2
204,中证700指数收益率*80%+中证综合债指数收益率*20%,2
38,MSCI港股通指数收益率(经估值汇率调整)*90%+银行人民币活期存款利率(税后)*10%,2
836,沪深300指数收益率*80%+中证香港100指数收益率*10%+中债综合全价(总值)指数收益率*10%,2
200,中证700指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率*5%,2
837,沪深300指数收益率*80%+恒生综合指数收益率(使用估值汇率折算)*10%+中债综合指数收益率*10%,2
898,深证100指数(价格)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,2
197,中证5G通信主题指数收益率*95%+人民币活期存款利率(税后)*5%,2
839,沪深300指数收益率*85%+中债国债总指数收益率(全价)*15%,2
165,中证500指数收益率*90%+同业存款利率(税后)*10%,2
914,深证基本面60指数收益率*95%+商业银行活期存款利率*5%,2
225,中证800指数收益率*80%+中证港股通综合指数收益率*10%+人民币活期存款利率(税后)*10%,2
127,中证1000指数收益率*90%+银行人民币活期存款利率(税后)*10%,2
142,中证100指数收益率*95%+银行同业存款收益率*5%,2
140,中证100指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
864,沪深300指数收益率*95%+一年期银行储蓄存款利率(税后)*5%,2
57,上证50指数收益率*95%+人民币活期存款利率(税后)*5%,2
135,中证100指数收益率*90%+一年期银行定期存款收益率(税后)*10%,2
915,深证成份指数,2
866,沪深300指数收益率*95%+同业存款利率*5%,2
132,中证100指数,2
867,沪深300指数收益率*95%+同期商业银行活期存款基准利率(税后)*5%,2
124,中证1000指数收益率*85%+商业银行活期存款利率(税后)*15%,2
106,中华交易服务半导体芯片行业指数收益率*95%+银行活期存款利率(税后)*5%,2
121,中小板指数收益率*95%+银行同业存款利率*5%,2
872,沪深300指数收益率*95%+金融同业存款利率*5%,2
873,沪深300指数收益率*95%+金融机构人民币活期存款利率(税后)*5%,2
118,中小板300价格指数收益率*95%+银行活期存款利率(税后)*5%,2
60,上证50指数收益率*95%+银行人民币活期存款利率(税后)*5%,2
116,中小企业板价格指数收益率*95%+人民币活期存款利率(税后)*5%,2
875,沪深300指数收益率*95%+银行人民币活期存款利率*5%(税后),2
114,中国战略新兴产业成份指数收益率*95%+人民币活期存款利率(税后)*5%,2
113,中国战略新兴产业成份指数收益率*80%+恒生综合指数收益率(经汇率调整后)*10%+中债综合指数收益率*10%,2
143,中证100指数收益率*95%+银行活期存款利率(税后)*5%,2
109,中华交易服务港股通精选100指数收益率(经汇率调整)*95%+商业银行活期存款利率(税后)*5%,2
145,中证200指数收益率*95%+银行活期存款利率(税后)*5%,2
107,中华交易服务沪深港300指数(人民币)收益率*95%+人民币活期存款利率(税后)*5%,2
164,中证500指数收益率*90%+中证综合债券指数收益率*10%,2
