,业绩比较基准,基准对应的基金数目
1357,沪深300指数收益率*65%+中债总财富(总值)指数收益率*35%,5
1330,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,5
1416,沪深300指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%(经汇率估值调整),5
271,中债综合指数收益率*90%+沪深300指数收益率*8%+恒生指数收益率*2%,5
36,一年期人民币定期存款利率(税后)*70%+沪深300指数收益率*30%,5
1213,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*50%,5
1109,沪深300指数*65%+中证全债指数*35%,5
595,中证800指数收益率*70%+中证综合债券指数收益率*30%,5
1255,沪深300指数收益率*55%+中国债券总指数收益率*45%,5
252,中债综合指数收益率*75%+沪深300指数收益率*25%,4
958,中证股票型基金指数收益率*75%+中证债券型基金指数收益率*20%+银行活期存款利率(税后)*5%,4
955,中证综合债指数收益率*90%+沪深300指数收益率*10%,4
402,中证500指数收益率*60%+中债综合指数收益率*40%,4
316,中国人民银行公布的一年期定期存款利率(税后)+3%,4
1130,沪深300指数*80%+中证国债指数*20%,4
997,同期中国人民银行公布的一年期人民币定期存款基准利率(税后)+3%,4
296,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*12%+中证港股通综合指数收益率*3%,4
1216,沪深300指数收益率*50%+中债综合财富指数收益率*50%,4
256,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,4
247,中债综合指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,4
417,中证500指数收益率*70%+1年期定期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,4
1244,沪深300指数收益率*55%+中债总指数(全价)收益率*45%,4
1245,沪深300指数收益率*55%+中债总指数(财富)收益率*45%,4
1106,沪深300指数*65%+上证国债指数*35%,4
232,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,4
228,中债综合全价指数收益率*85%+中证800指数收益率*15%,4
291,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,4
225,中债综合全价指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,4
223,中债综合全价指数收益率*75%+沪深300指数收益率*12%+一年期人民币定期存款基准利率(税后)*10%+恒生指数收益率*3%,4
281,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,4
1206,沪深300指数收益率*50%+中债综合指数收益率*45%+银行活期存款利率(税后)*5%,4
987,创业板指数收益率*85%+上证科创板50成份指数收益率*10%+银行活期存款利率(税后)*5%,4
286,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率*5%,4
1128,沪深300指数*80%+中国债券总指数*20%,4
1523,银行一年期定期存款利率(税后)+3%,4
454,中证700指数收益率*65%+中债综合财富(总值)指数收益率*30%+恒生指数收益率*5%,4
204,中债综合(全价)指数收益率*85%+沪深300指数收益率*15%,4
97,上证国债指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,4
1434,沪深300指数收益率*75%+中债综合(全价)指数收益率*25%,4
564,中证800指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,4
77,上证A股指数,4
1414,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,4
545,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,4
1405,沪深300指数收益率*70%+中债综合财富指数收益率*20%+恒生指数收益率*10%,4
544,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,4
570,中证800指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,4
1288,沪深300指数收益率*60%+中债综合(全价)指数收益率*40%,4
528,中证800指数收益率*60%+中债总指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,4
526,中证800指数收益率*60%+上证国债指数收益率*40%,4
525,中证800指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,4
120,中债-综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,4
1371,沪深300指数收益率*65%+中债综合财富指数收益率*25%+恒生指数收益率*10%,4
1440,沪深300指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,4
62,三年期银行定期存款利率(税后),4
140,中债总全价指数收益率*85%+沪深300指数收益率*15%,4
28,MSCI中国A股指数*85%+中债国债总指数(全价)*10%+同业存款息率*5%,4
1521,金融机构人民币一年期定期存款基准利率(税后)+2%,4
636,中证800指数收益率*80%+中证综合债券指数收益率*20%,4
8,1年期存款利率+3%(单利年化),4
12,6%/年,4
615,中证800指数收益率*75%+中证全债指数收益率*20%+恒生指数收益率(按估值汇率折算)*5%,4
599,中证800指数收益率*70%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,4
591,中证800指数收益率*70%+中国债券综合全价指数收益率*20%+中证港股通综合指数收益率*10%,4
724,中证全债指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,4
589,中证800指数收益率*70%+中国债券总指数收益率*30%,4
41,一年期人民币定期存款基准利率(税后)*70%+中证800指数收益率*30%,4
1465,沪深300指数收益率*80%+中债综合财富(总值)指数收益率*20%,4
584,中证800指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生指数收益率*10%,4
581,中证800指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,4
578,中证800指数收益率*70%+上证国债指数收益率*30%,4
505,中证800指数收益率*50%+中证综合债券指数收益率*50%,4
318,中国人民银行公布金融机构人民币一年期存款基准利率+3%(单利年化),4
927,中证综合债券指数收益率*40%+沪深300指数收益率*30%+恒生指数收益率*30%,4
1308,沪深300指数收益率*60%+中证全债指数收益率*25%+人民币计价的恒生综合指数收益率*15%,4
458,中证700指数收益率*80%+上证国债指数收益率*20%,4
1331,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富(总值)指数收益率*20%,4
932,中证综合债券指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,4
430,中证500指数收益率*75%+中债综合指数收益率*25%,4
811,中证医药卫生指数收益率*80%+中债综合指数收益率*20%,4
1307,沪深300指数收益率*60%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*15%,4
1321,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,4
141,中债总全价指数收益率*90%+中证800指数收益率*10%,4
1297,沪深300指数收益率*60%+中债综合指数收益率*30%+恒生综合指数收益率*10%,4
806,中证医药卫生指数收益率*65%+中债综合指数收益率*35%,4
438,中证500指数收益率*80%+中证综合债指数收益率*20%,4
1294,沪深300指数收益率*60%+中债综合指数收益率*25%+恒生指数收益率*15%,4
435,中证500指数收益率*80%+中债综合全价指数收益率*20%,4
935,中证综合债券指数收益率*80%+沪深300指数收益率*20%,4
1127,沪深300指数*80%+中债综合指数*20%,3
601,中证800指数收益率*70%+银行活期存款利率(税后)*20%+恒生指数收益率*10%,3
585,中证800指数收益率*70%+中债综合财富指数收益率*20%+中证港股通综合指数收益率*10%,3
432,中证500指数收益率*75%+中证综合债指数收益率*25%,3
399,中证500指数收益率*55%+中证全债指数收益率*45%,3
583,中证800指数收益率*70%+中债综合指数收益率*30%,3
596,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%(经汇率估值调整),3
598,中证800指数收益率*70%+中证综合债指数收益率*30%,3
369,中国战略新兴产业成份指数收益率*70%+中债综合财富(总值)指数收益率*25%+恒生指数收益率*5%,3
696,中证全债指数收益率*40%+沪深300指数收益率*35%+恒生指数收益率*25%,3
619,中证800指数收益率*75%+中证综合债券指数收益率*25%,3
948,中证综合债指数收益率*80%+中证500指数收益率*20%,3
323,中国债券总指数收益率*70%+沪深300指数收益率*30%,3
632,中证800指数收益率*80%+中债综合财富指数收益率*20%,3
328,中国战略新兴产业成份指数收益率*50%+中债总指数收益率*50%,3
1153,沪深300指数收益率*40%+中证全债指数收益率*40%+恒生AH股H指数收益率*20%,3
409,中证500指数收益率*60%+中证综合债券指数收益率*40%,3
332,中国战略新兴产业成份指数收益率*50%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数(人民币)*20%,3
582,中证800指数收益率*70%+中债综合全价指数收益率*30%,3
968,中证高端装备制造指数收益率*60%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*20%,3
684,中证债券型基金指数收益率*80%+中证股票型基金指数收益率*20%,3
688,中证偏股型基金指数收益率*80%+中债综合(全价)指数收益率*20%,3
1145,沪深300指数收益率*35%+恒生指数收益率(使用估值汇率折算)*35%+中证全债指数收益率*30%,3
607,中证800指数收益率*75%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*5%,3
692,中证全债指数*50%+沪深300指数*40%+一年定期存款利率*10%,3
1135,沪深300指数*85%+上证国债指数*15%,3
571,中证800指数收益率*65%+中证综合债券指数收益率*35%,3
995,同期一年期银行定期存款利率,3
918,中证红利指数收益率*75%+中债综合财富指数收益率*25%,3
499,中证800指数收益率*50%+中证全债指数收益率*30%+中证港股通综合指数收益率*20%,3
805,中证医药卫生指数收益率*65%+上证国债指数收益率*35%,3
801,中证医药卫生指数收益率*60%+中国债券总指数收益率*40%,3
800,中证医药卫生指数收益率*60%+中债综合指数收益率*40%,3
510,中证800指数收益率*50%+恒生指数收益率(使用估值汇率折算)*30%+中证全债指数收益率*20%,3
377,中国战略新兴产业成份指数收益率*80%+中债综合全价指数收益率*20%,3
791,中证医药卫生指数收益率*50%+中证全债指数收益率*50%,3
1094,沪深300指数*55%+中国债券总指数*45%,3
784,中证医药卫生指数*80%+上证国债指数*20%,3
520,中证800指数收益率*55%+中证全债指数收益率*45%,3
819,中证国债指数收益率*70%+沪深300指数收益率*30%,3
844,中证新兴产业指数*75%+上证国债指数*25%,3
461,中证700指数收益率*80%+中证全债指数收益率*20%,3
765,中证内地消费主题指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率(按估值汇率调整)*10%,3
1098,沪深300指数*60%+上证国债指数*35%+一年期定期存款利率*5%,3
543,中证800指数收益率*60%+中证全债指数收益率*40%,3
1038,年化收益率7%,3
1037,年化收益率6%,3
1104,沪深300指数*60%+中证综合债券指数*40%,3
457,中证700指数收益率*75%+中证全债指数收益率*25%,3
1022,富时中国A600指数*80%+富时中国国债指数*20%,3
550,中证800指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率*10%(经汇率估值调整),3
555,中证800指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中债综合指数收益率*20%,3
455,中证700指数收益率*65%+中证全债指数收益率*25%+恒生指数收益率*10%,3
352,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*20%+恒生指数收益率(经汇率估值调整)*15%,3
449,中证700指数*80%+上证国债指数*20%,3
568,中证800指数收益率*65%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*10%,3
442,中证500指数收益率*90%+银行活期存款利率(税后)*10%,3
348,中国战略新兴产业成份指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数收益率*20%,3
753,中证内地消费主题指数收益率*50%+上证国债指数收益率*50%,3
1172,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,3
244,中债综合指数收益率*70%+沪深300指数收益率*20%+恒生指数收益率*10%,3
283,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率(使用估值汇率调整)*5%+银行活期存款利率(税后)*5%,3
63,三年期银行定期存款利率(税后)+0.75%,3
1215,沪深300指数收益率*50%+中债综合财富指数收益率*40%+恒生指数收益率*10%,3
1259,沪深300指数收益率*55%+中证全债指数收益率*45%,3
1221,沪深300指数收益率*50%+中证全债指数收益率*30%+恒生指数收益率*20%,3
1226,沪深300指数收益率*50%+中证综合债券指数收益率*45%+银行活期存款利率(税后)*5%,3
1460,沪深300指数收益率*80%+中债综合全价(总值)指数收益率*20%,3
1500,申万医药生物行业指数收益率*80%+中债综合全价(总值)指数收益率*20%,3
151,中债总指数收益率*60%+一年期定期存款基准利率(税后)*25%+沪深300指数收益率*15%,3
1495,沪深300金融地产行业指数收益率*80%+上证国债指数收益率*20%,3
1253,沪深300指数收益率*55%+中债综合指数收益率*45%,3
50,一年期银行定期存款利率(税后)+2%,3
1234,沪深300指数收益率*50%+恒生指数收益率*40%(人民币计价)+中债综合财富指数收益率*10%,3
1462,沪深300指数收益率*80%+中债综合全价指数收益率*15%+金融机构人民币活期存款利率(税后)*5%,3
1318,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,3
1475,沪深300指数收益率*80%+商业银行活期存款利率(税后)*20%,3
1249,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*45%,3
1396,沪深300指数收益率*70%+中债总指数收益率*30%,3
1324,沪深300指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率*10%(经汇率估值调整),3
27,MSCI中国A股指数*80%+上证国债指数*20%,3
1481,"沪深300指数收益率*95%+2.5%(指年收益率,评价时按期间折算)",3
1476,沪深300指数收益率*80%+标普中国债券指数收益率*20%,3
1370,沪深300指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,3
1394,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,3
186,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,3
1367,沪深300指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,3
1203,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,3
64,三年期银行定期存款利率(税后)+1%,3
1300,沪深300指数收益率*60%+中债综合财富(总值)指数收益率*40%,3
1184,沪深300指数收益率*50%+中债总财富指数收益率*50%,3
1514,申银万国消费品指数*80%+中证全债指数*20%,3
99,上证国债指数收益率*85%+中证800指数收益率*15%,3
287,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*25%,3
211,中债综合全价(总值)指数收益率*75%+沪深300指数收益率*25%,3
133,中债总全价(总值)指数收益率*60%+沪深300指数收益率*40%,3
1189,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*30%+经人民币汇率调整的中证港股通综合指数收益率*20%,3
11,1年期银行定期存款基准利率(税后)+3%,3
1410,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率*5%,2
748,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,2
764,中证内地消费主题指数收益率*70%+中债总指数(全价)收益率*30%,2
1418,沪深300指数收益率*70%+恒生中国企业指数收益率*15%+中国债券总指数收益率*10%+银行活期存款利率(税后)*5%,2
745,中证全指金融地产指数收益率*30%+中证全指可选消费指数收益率*20%+中债综合财富(总值)指数收益率*20%+中证全指主要消费指数收益率*15%+中证全指医药卫生指数收益率*15%,2
1419,沪深300指数收益率*70%+恒生指数收益率(按估值汇率折算)*15%+中债-综合指数(全价)收益率*15%,2
742,中证全指指数收益率*50%+中债综合财富(总值)指数收益率*50%,2
763,中证内地消费主题指数收益率*70%+上证国债指数收益率*30%,2
1403,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生综合指数收益率*10%,2
750,中证内地消费主题指数*55%+中证全债指数*45%,2
1409,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,2
761,中证内地消费主题指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,2
760,中证内地消费主题指数收益率*60%+中证香港300主要消费人民币指数收益率*20%+上证国债指数收益率*20%,2
1397,沪深300指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,2
752,中证内地消费主题指数收益率*40%+沪深300指数收益率*30%+1年期定期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,2
