,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
605,000849.OF,汇丰晋信双核策略A,混合型基金,灵活配置型基金,中证800指数*60%+中债新综合指数*40%,中证800指数,60%,中债新综合指数,40%,nan,,nan,,nan,
606,000850.OF,汇丰晋信双核策略C,混合型基金,灵活配置型基金,中证800指数*60%+中债新综合指数*40%,中证800指数,60%,中债新综合指数,40%,nan,,nan,,nan,
607,000854.OF,鹏华养老产业,股票型基金,普通股票型基金,沪深300指数收益率*80%+中证综合债指数收益率*20%,沪深300指数收益率,80%,中证综合债指数收益率,20%,nan,,nan,,nan,
608,000855.OF,上投摩根天添盈A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,
609,000856.OF,上投摩根天添盈B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,
610,000857.OF,上投摩根天添盈E,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,
611,000859.OF,融通通瑞C,债券型基金,混合债券型二级基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,
612,000860.OF,银华惠增利,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
613,000861.OF,长城货币E,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,
614,000862.OF,富国天时货币C,货币市场型基金,货币市场型基金,当期银行个人活期存款利率(税前),当期银行个人活期存款利率(税前),,nan,,nan,,nan,,nan,
615,000863.OF,富国天时货币D,货币市场型基金,货币市场型基金,当期银行个人活期存款利率(税前),当期银行个人活期存款利率(税前),,nan,,nan,,nan,,nan,
616,000866.OF,华宝高端制造,股票型基金,普通股票型基金,申银万国制造业指数收益率*80%+上证国债指数收益率*20%,申银万国制造业指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
617,000867.OF,华宝品质生活,股票型基金,普通股票型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
618,000868.OF,国投瑞银增利宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
619,000869.OF,国投瑞银增利宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
620,000870.OF,嘉实新收益,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)+1%,一年期银行定期存款利率(税后),,1%,,nan,,nan,,nan,
621,000871.OF,北信瑞丰宜投宝A,货币市场型基金,货币市场型基金,中国人民银行公布的人民币活期存款基准利率(税后),中国人民银行公布的人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
622,000872.OF,北信瑞丰宜投宝B,货币市场型基金,货币市场型基金,中国人民银行公布的人民币活期存款基准利率(税后),中国人民银行公布的人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
623,000873.OF,华安现金宝A,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,
624,000874.OF,华安现金宝B,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,
625,000875.OF,建信稳定得利A,债券型基金,混合债券型二级基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
626,000876.OF,建信稳定得利C,债券型基金,混合债券型二级基金,中债综合全价(总值)指数,中债综合全价(总值)指数,,nan,,nan,,nan,,nan,
627,000877.OF,华泰柏瑞量化优选,混合型基金,灵活配置型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
628,000878.OF,中海医药健康产业A,混合型基金,灵活配置型基金,中证医药卫生指数收益率*50%+中证全债指数收益率*50%,中证医药卫生指数收益率,50%,中证全债指数收益率,50%,nan,,nan,,nan,
629,000879.OF,中海医药健康产业C,混合型基金,灵活配置型基金,中证医药卫生指数收益率*50%+中证全债指数收益率*50%,中证医药卫生指数收益率,50%,中证全债指数收益率,50%,nan,,nan,,nan,
630,000880.OF,富国研究精选,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%,nan,,nan,,nan,
631,000882.OF,中金现金管家A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
632,000883.OF,中金现金管家B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
633,000884.OF,民生加银优选,股票型基金,普通股票型基金,沪深300指数收益率*85%+中证国债指数收益率*15%,沪深300指数收益率,85%,中证国债指数收益率,15%,nan,,nan,,nan,
634,000887.OF,上投摩根稳进回报,混合型基金,偏债混合型基金,一年期银行定期存款利率(税后)+1%,一年期银行定期存款利率(税后),,1%,,nan,,nan,,nan,
635,000889.OF,上投摩根纯债添利A,债券型基金,中长期纯债型基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
636,000890.OF,上投摩根纯债添利C,债券型基金,中长期纯债型基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
637,000891.OF,博时现金宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
638,000892.OF,九泰天宝A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%,nan,,nan,,nan,
639,000893.OF,工银瑞信创新动力,股票型基金,普通股票型基金,中证800指数收益率*80%+中债综合指数收益率*20%,中证800指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
640,000894.OF,中欧睿达定期开放A,混合型基金,偏债混合型基金,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,同期中国人民银行公布的三年期银行定期存款收益率(税后),,1.5%,,nan,,nan,,nan,
641,000895.OF,国寿安保薪金宝,货币市场型基金,货币市场型基金,7天通知存款利率(税后),7天通知存款利率(税后),,nan,,nan,,nan,,nan,
642,000896.OF,鑫元聚鑫收益增强A,债券型基金,混合债券型二级基金,中证全债指数收益率*90%+沪深300指数收益率*10%,中证全债指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
643,000897.OF,鑫元聚鑫收益增强C,债券型基金,混合债券型二级基金,中证全债指数收益率*90%+沪深300指数收益率*10%,中证全债指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,
644,000898.OF,华富恒稳纯债A,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
645,000899.OF,华富恒稳纯债C,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
646,000901.OF,国开泰富货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
647,000902.OF,国开泰富货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
648,000903.OF,新华活期添利A,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,
649,000904.OF,银华回报,混合型基金,灵活配置型基金,年化收益率5%,年化收益率5%,,nan,,nan,,nan,,nan,
650,000905.OF,鹏华安盈宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
651,000906.OF,广发全球精选美元现汇,国际(QDII)基金,国际(QDII)股票型基金,人民币计价的MSCI全球指数(MSCI World Index)*60%+人民币计价的恒生指数*40%,人民币计价的MSCI全球指数(MSCI World Index),60%,人民币计价的恒生指数,40%,nan,,nan,,nan,
652,000907.OF,农银汇理红利A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,
653,000908.OF,农银汇理红利B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,
654,000910.OF,鑫元合丰纯债C,债券型基金,中长期纯债型基金,二年期银行定期存款收益率(税后),二年期银行定期存款收益率(税后),,nan,,nan,,nan,,nan,
655,000911.OF,鑫元合丰纯债A,债券型基金,中长期纯债型基金,二年期银行定期存款收益率(税后),二年期银行定期存款收益率(税后),,nan,,nan,,nan,,nan,
656,000912.OF,英大现金宝A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,
657,000913.OF,农银汇理医疗保健主题,股票型基金,普通股票型基金,中证医药卫生指数*80%+中证全债指数*20%,中证医药卫生指数,80%,中证全债指数,20%,nan,,nan,,nan,
658,000914.OF,中加纯债,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
659,000916.OF,前海开源股息率100强,股票型基金,普通股票型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
660,000917.OF,嘉实快线A,货币市场型基金,货币市场型基金,按中国人民银行公布币活期存款利率(税后),按中国人民银行公布币活期存款利率(税后),,nan,,nan,,nan,,nan,
661,000918.OF,嘉实快线B,货币市场型基金,货币市场型基金,按中国人民银行公布币活期存款利率(税后),按中国人民银行公布币活期存款利率(税后),,nan,,nan,,nan,,nan,
662,000919.OF,嘉实快线C,货币市场型基金,货币市场型基金,按中国人民银行公布币活期存款利率(税后),按中国人民银行公布币活期存款利率(税后),,nan,,nan,,nan,,nan,
663,000920.OF,易方达财富快线Y,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,
664,000921.OF,中邮现金驿站A,货币市场型基金,货币市场型基金,金融机构人民币活期存款基准利率(税后),金融机构人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
665,000922.OF,中邮现金驿站B,货币市场型基金,货币市场型基金,金融机构人民币活期存款基准利率(税后),金融机构人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
666,000923.OF,中邮现金驿站C,货币市场型基金,货币市场型基金,金融机构人民币活期存款基准利率(税后),金融机构人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
667,000924.OF,宝盈先进制造A,混合型基金,灵活配置型基金,申银万国制造业指数*70%+中证综合债券指数收益率*30%,申银万国制造业指数,70%,中证综合债券指数收益率,30%,nan,,nan,,nan,
668,000925.OF,汇添富外延增长主题A,股票型基金,普通股票型基金,沪深300指数*80%+中债综合指数*20%,沪深300指数,80%,中债综合指数,20%,nan,,nan,,nan,
669,000926.OF,中信建投睿信A,混合型基金,灵活配置型基金,年化收益率7%,年化收益率7%,,nan,,nan,,nan,,nan,
670,000927.OF,博时大中华美元现汇,国际(QDII)基金,国际(QDII)股票型基金,MSCI Zhonghua*65%+MSCI AC Asia Pacific ex Zhonghua*35%,MSCI Zhonghua,65%,MSCI AC Asia Pacific ex Zhonghua,35%,nan,,nan,,nan,
671,000928.OF,中融国企改革,混合型基金,灵活配置型基金,中证国有企业改革指数收益率*55%+上证国债指数收益率*45%,中证国有企业改革指数收益率,55%,上证国债指数收益率,45%,nan,,nan,,nan,
672,000929.OF,博时黄金ETF D,另类投资基金,商品型基金,黄金现货实盘合约AU99.99收益率,黄金现货实盘合约AU99.99收益率,,nan,,nan,,nan,,nan,
673,000930.OF,博时黄金ETF I,另类投资基金,商品型基金,黄金现货实盘合约AU99.99收益率,黄金现货实盘合约AU99.99收益率,,nan,,nan,,nan,,nan,
674,000931.OF,国寿安保尊益信用纯债,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,
675,000932.OF,前海开源睿远稳健增利A,混合型基金,偏债混合型基金,中证全债指数收益率*85%+沪深300指数收益率*15%,中证全债指数收益率,85%,沪深300指数收益率,15%,nan,,nan,,nan,
676,000933.OF,前海开源睿远稳健增利C,混合型基金,偏债混合型基金,中证全债指数收益率*85%+沪深300指数收益率*15%,中证全债指数收益率,85%,沪深300指数收益率,15%,nan,,nan,,nan,
677,000934.OF,国富大中华精选人民币,国际(QDII)基金,国际(QDII)混合型基金,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index)*60%+同期人民币一年期定期存款利率(税后)*40%,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),60%,同期人民币一年期定期存款利率(税后),40%,nan,,nan,,nan,
678,000935.OF,浙商汇金转型成长,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中国债券总指数收益率*30%,沪深300指数收益率,70%,中国债券总指数收益率,30%,nan,,nan,,nan,
679,000936.OF,博时产业新动力A,混合型基金,灵活配置型基金,中证全指工业指数收益率*70%+中国债券总指数收益率*30%,中证全指工业指数收益率,70%,中国债券总指数收益率,30%,nan,,nan,,nan,
680,000939.OF,中银研究精选,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%,nan,,nan,,nan,
681,000940.OF,富国中小盘精选,混合型基金,偏股混合型基金,中证700指数收益率*80%+中债综合财富指数收益率*20%,中证700指数收益率,80%,中债综合财富指数收益率,20%,nan,,nan,,nan,
682,000942.OF,广发中证全指信息技术ETF联接A,股票型基金,被动指数型基金,中证全指信息技术指数收益率*95%+银行活期存款利率(税后)*5%,中证全指信息技术指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
683,000943.OF,工银中高等级信用债A,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
684,000944.OF,工银中高等级信用债B,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,
685,000945.OF,华夏医疗健康A,混合型基金,偏股混合型基金,中证医药卫生指数收益率*65%+上证国债指数收益率*35%,中证医药卫生指数收益率,65%,上证国债指数收益率,35%,nan,,nan,,nan,
686,000946.OF,华夏医疗健康C,混合型基金,偏股混合型基金,中证医药卫生指数收益率*65%+上证国债指数收益率*35%,中证医药卫生指数收益率,65%,上证国债指数收益率,35%,nan,,nan,,nan,
687,000948.OF,华夏沪港通恒生ETF联接A,股票型基金,被动指数型基金,(人民币/港币汇率*恒生指数)收益率*95%+人民币活期存款利率(税后)*5%,(人民币/港币汇率,恒生指数)收益率,人民币活期存款利率(税后),5%,nan,,nan,,nan,
688,000950.OF,易方达沪深300非银ETF联接A,股票型基金,被动指数型基金,沪深300非银行金融指数收益率*95%+活期存款利率(税后)*5%,沪深300非银行金融指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,
689,000951.OF,中银慧享A,债券型基金,短期纯债型基金,中债-固定利率债券全价(1-3年)指数收益率,中债-固定利率债券全价(1-3年)指数收益率,,nan,,nan,,nan,,nan,
690,000952.OF,中银慧享B,债券型基金,短期纯债型基金,中债-固定利率债券全价(1-3年)指数收益率,中债-固定利率债券全价(1-3年)指数收益率,,nan,,nan,,nan,,nan,
691,000953.OF,国泰睿吉A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%,nan,,nan,,nan,
692,000954.OF,国泰睿吉C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%,nan,,nan,,nan,
693,000955.OF,南方产业活力,股票型基金,普通股票型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
694,000960.OF,招商医药健康产业,股票型基金,普通股票型基金,申万医药生物行业指数收益率*80%+中债综合指数收益率*20%,申万医药生物行业指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
695,000961.OF,天弘沪深300ETF联接A,股票型基金,被动指数型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
696,000962.OF,天弘中证500ETF联接A,股票型基金,被动指数型基金,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
697,000963.OF,兴业多策略,混合型基金,灵活配置型基金,三年期银行定期存款利率(税后)+1%,三年期银行定期存款利率(税后),,1%,,nan,,nan,,nan,
698,000965.OF,汇丰晋信新动力,混合型基金,偏股混合型基金,中证800指数(CSI800)*80%+银行同业存款利率*20%,中证800指数(CSI800),80%,银行同业存款利率,20%,nan,,nan,,nan,
699,000966.OF,中邮核心科技创新,混合型基金,灵活配置型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%,nan,,nan,,nan,
700,000967.OF,华泰柏瑞创新动力,混合型基金,灵活配置型基金,中证新兴产业指数收益率*60%+中债总指数(全价)收益率*40%,中证新兴产业指数收益率,60%,中债总指数(全价)收益率,40%,nan,,nan,,nan,
701,000968.OF,广发中证养老产业A,股票型基金,被动指数型基金,中证养老产业指数收益率*95%+银行活期存款利率(税后)*5%,中证养老产业指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
702,000969.OF,前海开源大安全核心,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%,nan,,nan,,nan,
703,000970.OF,东方红睿元三年定期,混合型基金,灵活配置型基金,三年期银行定期存款利率(税后),三年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,
704,000971.OF,诺安新经济,股票型基金,普通股票型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%,nan,,nan,,nan,
705,000972.OF,新华万银多元策略,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%,nan,,nan,,nan,
706,000973.OF,新华增盈回报,债券型基金,混合债券型二级基金,中债企业债总全价指数收益率*60%+中债国债总全价指数收益率*30%+沪深300指数收益率*10%,中债企业债总全价指数收益率,60%,中债国债总全价指数收益率,30%,沪深300指数收益率,10%,nan,,nan,
707,000974.OF,安信消费医药主题,股票型基金,普通股票型基金,中证800指数收益率*90%+上证国债指数收益率*10%,中证800指数收益率,90%,上证国债指数收益率,10%,nan,,nan,,nan,
708,000975.OF,华夏MSCI中国A股国际通ETF联接A,股票型基金,被动指数型基金,MSCI中国A股国际通指数收益率*95%+人民币活期存款利率(税后)*5%,MSCI中国A股国际通指数收益率,95%,人民币活期存款利率(税后),5%,nan,,nan,,nan,
709,000976.OF,长城新兴产业,混合型基金,灵活配置型基金,中证新兴产业指数收益率*55%+中债综合财富指数收益率*45%,中证新兴产业指数收益率,55%,中债综合财富指数收益率,45%,nan,,nan,,nan,
710,000977.OF,长城环保主题,混合型基金,灵活配置型基金,中证环保产业指数收益率*50%+中债综合财富指数收益率*50%,中证环保产业指数收益率,50%,中债综合财富指数收益率,50%,nan,,nan,,nan,
711,000978.OF,景顺长城量化精选,股票型基金,普通股票型基金,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,中证500指数收益率,95%,商业银行活期存款利率(税后),5%,nan,,nan,,nan,
712,000979.OF,景顺长城沪港深精选,股票型基金,普通股票型基金,沪深300指数*45%+恒生指数*45%+中证全债指数*10%,沪深300指数,45%,恒生指数,45%,中证全债指数,10%,nan,,nan,
713,000980.OF,汇添富添富通B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
714,000981.OF,北信瑞丰现金添利A,货币市场型基金,货币市场型基金,中国人民银行公布的人民币活期存款基准利率(税后),中国人民银行公布的人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
715,000982.OF,北信瑞丰现金添利B,货币市场型基金,货币市场型基金,中国人民银行公布的人民币活期存款基准利率(税后),中国人民银行公布的人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,
716,000985.OF,嘉实逆向策略,股票型基金,普通股票型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%,nan,,nan,,nan,
717,000986.OF,太平灵活配置,混合型基金,灵活配置型基金,1年期银行定期存款利率(税后)+2%,1年期银行定期存款利率(税后),,2%,,nan,,nan,,nan,
718,000988.OF,嘉实全球互联网人民币,国际(QDII)基金,国际(QDII)股票型基金,中证海外中国互联网指数*45%+道琼斯互联网指数*40%+中证全指互联网软件与服务指数*15%,中证海外中国互联网指数,45%,道琼斯互联网指数,40%,中证全指互联网软件与服务指数,15%,nan,,nan,
719,000989.OF,嘉实全球互联网美元现汇,国际(QDII)基金,国际(QDII)股票型基金,中证海外中国互联网指数*45%+道琼斯互联网指数*40%+中证全指互联网软件与服务指数*15%,中证海外中国互联网指数,45%,道琼斯互联网指数,40%,中证全指互联网软件与服务指数,15%,nan,,nan,
720,000990.OF,嘉实全球互联网美元现钞,国际(QDII)基金,国际(QDII)股票型基金,中证海外中国互联网指数*45%+道琼斯互联网指数*40%+中证全指互联网软件与服务指数*15%,中证海外中国互联网指数,45%,道琼斯互联网指数,40%,中证全指互联网软件与服务指数,15%,nan,,nan,
721,000991.OF,工银瑞信战略转型主题A,股票型基金,普通股票型基金,中证800指数收益率*80%+中债综合指数收益率*20%,中证800指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
722,000992.OF,广发对冲套利,另类投资基金,股票多空,1年期银行定期存款收益率(税后),1年期银行定期存款收益率(税后),,nan,,nan,,nan,,nan,
723,000993.OF,华宝稳健回报,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%,nan,,nan,,nan,
724,000994.OF,建信睿盈A,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,沪深300指数收益率,65%,中债综合指数收益率(全价),35%,nan,,nan,,nan,
725,000995.OF,建信睿盈C,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,沪深300指数收益率,65%,中债综合指数收益率(全价),35%,nan,,nan,,nan,
726,000996.OF,中银新动力,股票型基金,普通股票型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
727,000997.OF,南方双元A,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
728,000998.OF,南方双元C,债券型基金,中长期纯债型基金,中证全债指数,中证全债指数,,nan,,nan,,nan,,nan,
729,001000.OF,中欧明睿新起点,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
730,001001.OF,华夏债券AB,债券型基金,混合债券型一级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
731,001003.OF,华夏债券C,债券型基金,混合债券型一级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
732,001004.OF,新华稳健回报,混合型基金,灵活配置型基金,一年期银行定期存款收益率(税后)*2,一年期银行定期存款收益率(税后),2,nan,,nan,,nan,,nan,
733,001006.OF,中信建投凤凰A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,
734,001007.OF,国联安鑫安,混合型基金,灵活配置型基金,沪深300指数*50%+上证国债指数*50%,沪深300指数,50%,上证国债指数,50%,nan,,nan,,nan,
735,001008.OF,工银瑞信国企改革主题,股票型基金,普通股票型基金,中证国有企业综合指数收益率*80%+中债综合指数收益率*20%,中证国有企业综合指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
736,001009.OF,上投摩根安全战略,股票型基金,普通股票型基金,中证800指数收益率*85%+中债总指数收益率*15%,中证800指数收益率,85%,中债总指数收益率,15%,nan,,nan,,nan,
737,001010.OF,易方达增金宝A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,
738,001011.OF,华夏希望债券A,债券型基金,混合债券型二级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
739,001013.OF,华夏希望债券C,债券型基金,混合债券型二级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,
740,001014.OF,中融融安,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%,nan,,nan,,nan,
741,001015.OF,华夏沪深300指数增强A,股票型基金,增强指数型基金,沪深300指数收益率*95%+1.5%,沪深300指数收益率,95%,1.5%,,nan,,nan,,nan,
742,001016.OF,华夏沪深300指数增强C,股票型基金,增强指数型基金,沪深300指数收益率*95%+1.5%,沪深300指数收益率,95%,1.5%,,nan,,nan,,nan,
743,001017.OF,泰达宏利改革动力A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%,nan,,nan,,nan,
744,001018.OF,易方达新经济,混合型基金,灵活配置型基金,中证800指数收益率*65%+一年期人民币定期存款利率(税后)*35%,中证800指数收益率,65%,一年期人民币定期存款利率(税后),35%,nan,,nan,,nan,
745,001019.OF,兴业年年利,债券型基金,中长期纯债型基金,中国债券综合全价指数,中国债券综合全价指数,,nan,,nan,,nan,,nan,
746,001021.OF,华夏亚债中国A,债券型基金,被动指数型债券基金,iBoxx亚债中国指数,iBoxx亚债中国指数,,nan,,nan,,nan,,nan,
747,001023.OF,华夏亚债中国C,债券型基金,被动指数型债券基金,iBoxx亚债中国指数,iBoxx亚债中国指数,,nan,,nan,,nan,,nan,
748,001026.OF,诺安理财宝C,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,
749,001027.OF,前海开源中证大农业增强,股票型基金,增强指数型基金,中证大农业指数收益率*95%+商业银行活期存款利率(税后)*5%,中证大农业指数收益率,95%,商业银行活期存款利率(税后),5%,nan,,nan,,nan,
750,001028.OF,华安物联网主题,股票型基金,普通股票型基金,中证800指数收益率*80%+中国债券总指数收益率*20%,中证800指数收益率,80%,中国债券总指数收益率,20%,nan,,nan,,nan,
751,001030.OF,天弘云端生活优选,混合型基金,灵活配置型基金,中证主要消费指数收益率*60%+中证综合债指数收益率*40%,中证主要消费指数收益率,60%,中证综合债指数收益率,40%,nan,,nan,,nan,
752,001031.OF,华夏安康信用优选A,债券型基金,混合债券型二级基金,中债企业债总指数收益率*80%+中债国债总指数收益率*20%,中债企业债总指数收益率,80%,中债国债总指数收益率,20%,nan,,nan,,nan,
753,001033.OF,华夏安康信用优选C,债券型基金,混合债券型二级基金,中债企业债总指数收益率*80%+中债国债总指数收益率*20%,中债企业债总指数收益率,80%,中债国债总指数收益率,20%,nan,,nan,,nan,
754,001035.OF,中银恒利半年,债券型基金,混合债券型二级基金,六个月定期存款基准利率(税后)*1.1,六个月定期存款基准利率(税后),1.1,nan,,nan,,nan,,nan,
755,001036.OF,嘉实企业变革,股票型基金,普通股票型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%,nan,,nan,,nan,
