,业绩比较基准,基准对应的基金数目,基金对应平均比例
228,上海清算所银行间1-3年高等级信用债指数收益率,2,0
229,同期银行活期存款利率,2,0
230,中债-进出口行债券(3-5年)总指数收益率,2,0
231,中证可转债及可交换债券50指数收益率,2,0
232,中债-国债及政策性银行债财富(总值)指数收益率,2,0
233,上证国债指数,2,0
234,中债新综合财富(1年以下)指数收益率,2,0
235,上海清算所银行间1-3年中高等级信用债指数收益率,2,0
236,中证银行50金融债指数收益率,2,0
237,中证政策性金融债3-5年指数收益率,2,0
238,封闭期起始日公布的12个月银行定期存款利率(税后),2,0
239,封闭期同期对应的一年期定期存款利率(税后),2,0
240,中债-1-5年农发行债券指数收益率,2,0
241,沪深300指数增长率,2,0
242,中债-总财富(总值)指数收益率,2,0
243,彭博巴克莱农发行债券1-3年指数收益率,2,0
244,上海清算所高等级优选短期融资券指数收益率,2,0
245,一年期定期存款基准利率(税后),2,0
246,中债国债及政策性银行债全价(7-10年)指数收益率,2,0
247,中债-综合全价(1年以下)指数收益率,2,0
248,3年期定期存款利率(税后),2,0
249,中债总全价指数(总值)收益率,2,0
250,中证信用主体50债券指数收益率,1,0
251,中债综合财富指数(总值)收益率,1,0
252,该封闭期起始日的三年期银行定期存款收益率(税后),1,0
253,中证政策性金融债指数收益率,1,0
254,每个封闭期同期对应的三年期定期存款利率(税后),1,0
255,该封闭期起始日中国人民银行公布并执行的三年期定期存款基准利率(税后),1,0
256,中债-金融债券总全价(总值)指数收益率,1,0
257,为该封闭期起始日公布的三年期定期存款利率(税后),1,0
258,同期银行活存款利率(税后),1,0
259,中国债券综合指数(全价),1,0
260,二年期银行定期存款利率(税后),1,0
261,中债-湖北省地方政府债指数收益率,1,0
262,中国人民银行公布的同期一年期银行定期存款基准利率(税后),1,0
263,中证兴业中高等级信用债指数收益率,1,0
264,每个封闭期起始日公布的三年期定期存款利率(税后),1,0
265,中国人民银行公布的金融机构三年期人民币存款基准利率(税后),1,0
266,三年期银行定存款利率(税后),1,0
267,固定利率0.8%,1,1
268,银行活期存款利率,1,0
269,同期中国人民银行公布的6个月期定期存款基准利率(税后),1,0
270,该封闭期起始日的中国人民银行公布并执行的金融机构人民币三年期定期存款利率(税后),1,0
271,同期六个月定期存款利率(税后),1,0
272,固定利率0.30%,1,1
273,中债商业银行债券指数收益率,1,0
274,封闭期起始日的三年期银行定期存款收益率(税后),1,0
275,每个封闭期同期三年银行定期存款利率(税后),1,0
276,每个封闭期同期对应的银行一年期定期存款利率(税后),1,0
277,每个封闭期同期对应的一年期定期存款利率(税后),1,0
278,该封闭期起始日中国人民银行公布的三年期定期存款利率(税后),1,0
279,标普中国全债指数收益率,1,0
280,同期三年银行定期存款利率(税后),1,0
281,1年定期存款利率(税后),1,0
282,银行三年期定期存款利率(税后),1,0
283,彭博1-3年中国利率债指数收益率,1,0
284,中债1-3年期农发行债券指数收益率,1,0
285,中证国债及政策性金融债1-5年指数收益率,1,0
286,中债-总全价(总值)指数收益率,1,0
287,同期半年银行定期存款利率(税后),1,0
288,中债1-3年国开行债券全价(总值)指数收益率,1,0
289,中债信用债总全价指数收益率,1,0
290,固定利率0.2%,1,1
291,中信标普可转债指数,1,0
292,利差,1,0
293,同期1年期银行定期存款利率(税后),1,0
294,两年期银行定期存款收益率(税前),1,0
295,封闭期起始日的中国人民银行公布并执行的金融机构两年期定期存款基准利率(税后),1,0
296,6个月定期存款利率(税后),1,0
297,该封闭期起始日的中国人民银行公布并执行的金融机构三年期银行定期存款利率(税后),1,0
298,同期两年银行定期存款利率(税后),1,0
299,人民币银行活期存款利率(税后),1,0
300,固定利率0.45%,1,1
301,三年期银行定期存款基准利率(税后),1,0
302,每个封闭期首日对应的三年定期存款基准利率(税后),1,0
303,同期中国人民银行公布的一年期银行定期存款(税后)收益率,1,0
304,该封闭期起始日中国人民银行公布的三年期银行定期存款利率(税后),1,0
305,中债3-5年政策性金融债全价(总值)指数收益率,1,0
