,业绩比较基准,基准对应的基金数目,基金对应平均比例
210,同期银行一年定期存款利率,1,0.0
211,沪深300全收益指数收益率,1,0.0
212,天相中盘股指数,1,0.0
213,中证可转换债券指数,1,0.0
214,中债综合(总值)指数收益率,1,0.0
215,恒生中国企业指数(使用估值汇率折算)收益率,1,0.0
216,经人民币汇率调整的恒生综合指数收益率,1,0.0
217,中证香港300医药卫生指数收益率,1,0.0
218,中债-国债总指数,1,0.0
219,(上证180指数收益率,1,0.0
220,中证800媒体指数收益率,1,0.0
221,中证内地消费指数收益率,1,0.0
222,中证龙头企业指数收益率,1,0.0
223,中证港股通综合人民币指数收益率,1,0.0
