,业绩比较基准,基准对应的基金数目,基金对应平均比例
72,中证港股通50指数收益率(使用估值汇率折算),1,1
73,(人民币/港币汇率,1,1
74,中证细分化工产业主题指数收益率,1,1
75,同期粤港澳大湾区创新100指数收益率,1,1
76,上证消费80指数,1,1
77,上证中小盘指数,1,1
78,中证5G通信主题指数收益率,1,1
79,中证南方小康产业指数,1,1
80,中证全指通信设备指数收益率,1,1
81,上证中盘指数,1,1
82,中证智能消费主题指数,1,1
83,创业板50指数收益率,1,1
84,中证100指数收益率,1,1
85,中证全指信息技术指数,1,1
86,中证科技50指数收益率,1,1
87,沪深300金融地产指数,1,1
88,巨潮小盘价值指数,1,1
89,中证杭州湾区指数收益率,1,1
90,中证影视主题指数收益率,1,1
91,中证福建50指数收益率,1,1
92,中证能源指数,1,1
93,中证5G通信主题指数,1,1
94,粤港澳大湾区创新100指数,1,1
95,中证香港证券投资主题指数收益率(使用估值汇率折算),1,1
96,中证消费服务领先指数收益率,1,1
97,中证主要消费指数,1,1
98,中证科技传媒通信150指数,1,1
99,中证沪港深粤港澳大湾区发展主题指数,1,1
100,上证180指数,1,1
101,中证国信价值指数收益率,1,1
102,中证长三角一体化发展主题指数收益率,1,1
103,中证全指能源指数,1,1
104,国证生物医药指数收益率,1,1
105,恒生沪深港通大湾区综合指数收益率,1,1
106,中证煤炭指数收益率,1,1
107,中证消费50指数收益率,1,1
108,中证沪港深互联网指数,1,1
109,中证浙江凤凰行动50指数收益率,1,1
110,中关村A股指数收益率,1,1
111,MSCI中国A股国际指数(MSCI China A International Index)收益率,1,1
112,国证食品饮料行业指数收益率,1,1
113,上证医药卫生行业指数,1,1
114,沪深300行业中性低波动指数收益率,1,1
115,中证医药卫生指数,1,1
116,上证主要消费行业指数,1,1
117,中证医药50指数收益率,1,1
118,上证金融地产行业指数,1,1
119,中证全指原材料指数,1,1
120,央视财经50指数收益率,1,1
121,沪深300红利低波动指数收益率,1,1
122,上证380指数,1,1
123,中证1000指数,1,1
124,上证大宗商品股票指数,1,1
125,中证金融地产指数,1,1
126,中证全指可选消费指数,1,1
127,上证红利低波动指数收益率,1,1
128,MSCI中国A股质优价值100指数,1,1
129,中证环保产业指数收益率,1,1
130,中证军工龙头指数收益率,1,1
131,中证农业主题指数,1,1
132,中证新兴科技100策略指数收益率,1,1
133,中证浙江100指数收益率,1,1
134,上证180价值指数,1,1
135,中证全指金融地产指数,1,1
136,中证上海国企指数,1,1
137,中证500成长估值指数收益率,1,1
138,中证细分医药产业主题指数收益率,1,1
139,上证港股通指数收益率,1,1
140,上证180金融股指数收益率,1,1
141,中证新能源指数收益率,1,1
142,中证酒指数收益率,1,1
143,上证证券行业指数,1,1
144,沪深300医药卫生指数,1,1
145,上证社会责任指数,1,1
146,中证电子指数收益率,1,1
147,中国战略新兴产业成份指数(简称:新兴成指)指数收益率,1,1
148,中证800证券保险指数收益率,1,1
149,中证红利低波动指数收益率,1,1
150,中证软件服务指数收益率,1,1
151,中证银行指数,1,1
152,中证主要消费指数收益率,1,1
153,深证成长40价格指数,1,1
154,中证全指医药卫生指数,1,1
155,上证周期行业50指数,1,1
156,上证红利指数,1,1
157,上证自然资源指数收益率,1,1
158,中证长三角领先指数收益率,1,1
159,中证粤港澳大湾区发展主题指数收益率,1,1
160,中证四川国企改革指数收益率,1,1
161,深证100指数,1,1
162,上证国有企业100指数,1,1
163,中证5G产业50指数收益率,1,1
164,中证500行业中性低波动指数收益率,1,1
165,MSCI中国A股国际指数收益率,1,1
166,深证300价值价格指数,1,1
167,中证浙江国资创新发展指数收益率,1,1
168,沪深300红利指数,1,1
169,中证500沪市指数,1,1
170,上证超级大盘指数,1,1
171,中证红利低波动100指数收益率,1,1
172,中创400指数,1,1
173,标普中国A股大盘红利低波50指数收益率,1,1
174,深证基本面120指数,1,1
175,上证央企50指数,1,1
176,深证300指数,1,1
177,国证证券龙头指数收益率,1,1
178,上证龙头企业指数,1,1
179,沪深300非银行金融指数,1,1
180,MSCI中国A股国际指数收益率(经汇率调整),1,1
181,中证新能源汽车产业指数收益率,1,1
182,深证100价格指数,1,1
183,中证国防指数收益率,1,1
184,中证医药卫生指数收益率,1,1
185,上证180金融股指数,1,1
186,恒生中国企业指数收益率(估值汇率调整),1,1
187,中华交易服务港股通精选100指数收益率(经汇率调整),1,1
188,经估值汇率调整的恒生中国企业指数收益率,1,1
189,中证全指软件指数收益率,1,1
190,上证非周期行业100指数,1,1
191,中华交易服务半导体芯片行业指数收益率,1,1
192,中证红利潜力指数收益率,1,1
193,中证全指家用电器指数收益率,1,1
194,深证100价格指数收益率,1,1
195,深证100指数收益率,1,1
196,中证500信息技术指数,1,1
197,深证TMT50指数,1,1
198,中证智能制造主题指数收益率,1,1
199,创业板动量成长指数收益率,1,1
200,上证综合指数收益率,1,1
201,深证基本面60指数收益率,1,1
202,上证180公司治理指数,1,1
203,国证消费100指数收益率,1,1
204,深证100指数(价格)收益率,1,1
205,中证科技100指数收益率,1,1
206,国证民企领先100指数收益率,1,1
207,MSCI中国A股低波动指数(MSCI China A International Minimum Volatility Index)收益率,1,1
208,中证钢铁指数收益率,1,1
209,中小企业板价格指数,1,1
